,call_type,received_timestamp,disptach_timestamp,dispatch_time,coordinates
17,Medical Incident,0 days 14:54:21.000000000,0 days 15:01:11.000000000,0 days 00:06:50.000000000,37.74817255 -122.458695
18,Medical Incident,0 days 21:42:22.000000000,0 days 21:47:16.000000000,0 days 00:04:54.000000000,37.77005466 -122.4461284
19,Structure Fire,0 days 12:24:27.000000000,0 days 12:25:47.000000000,0 days 00:01:20.000000000,37.783359 -122.4166949
20,Medical Incident,0 days 14:10:45.000000000,0 days 14:12:10.000000000,0 days 00:01:25.000000000,37.77779031 -122.4128343
21,Medical Incident,0 days 10:40:14.000000000,0 days 10:41:22.000000000,0 days 00:01:08.000000000,37.78066916 -122.401678
22,Medical Incident,0 days 11:52:30.000000000,0 days 11:52:59.000000000,0 days 00:00:29.000000000,37.77409268 -122.4410844
23,Medical Incident,0 days 14:51:27.000000000,0 days 15:01:45.000000000,0 days 00:10:18.000000000,37.8028277 -122.4130343
24,Medical Incident,0 days 08:50:47.000000000,0 days 08:52:29.000000000,0 days 00:01:42.000000000,37.78626844 -122.4129972
25,Medical Incident,0 days 15:31:54.000000000,0 days 15:33:39.000000000,0 days 00:01:45.000000000,37.77027309 -122.448605
26,Medical Incident,0 days 13:19:28.000000000,0 days 13:22:11.000000000,0 days 00:02:43.000000000,37.78191397 -122.4130322
27,Other,0 days 19:07:16.000000000,0 days 21:45:14.000000000,0 days 02:37:58.000000000,37.72229807 -122.4113031
28,Medical Incident,0 days 03:14:26.000000000,0 days 03:16:45.000000000,0 days 00:02:19.000000000,37.75962769 -122.415923
29,Medical Incident,0 days 11:59:40.000000000,0 days 12:01:55.000000000,0 days 00:02:15.000000000,37.78186545 -122.4142853
30,Medical Incident,0 days 12:16:45.000000000,0 days 12:18:05.000000000,0 days 00:01:20.000000000,37.77938258 -122.4184844
31,Medical Incident,0 days 11:55:50.000000000,0 days 11:58:28.000000000,0 days 00:02:38.000000000,37.79154569 -122.4200366
32,Structure Fire,0 days 14:33:15.000000000,0 days 14:34:43.000000000,0 days 00:01:28.000000000,37.77025923 -122.4318323
33,Medical Incident,0 days 13:02:34.000000000,0 days 13:04:14.000000000,0 days 00:01:40.000000000,37.77319006 -122.418237
34,Medical Incident,0 days 20:13:05.000000000,0 days 20:14:22.000000000,0 days 00:01:17.000000000,37.72094713 -122.4531654
35,Medical Incident,0 days 03:20:30.000000000,0 days 03:21:38.000000000,0 days 00:01:08.000000000,37.78497774 -122.4596976
36,Medical Incident,0 days 11:26:29.000000000,0 days 11:52:42.000000000,0 days 00:26:13.000000000,37.78894504 -122.4262523
37,Medical Incident,0 days 16:17:08.000000000,0 days 16:18:08.000000000,0 days 00:01:00.000000000,37.74226138 -122.4219647
38,Medical Incident,0 days 23:15:08.000000000,0 days 23:16:25.000000000,0 days 00:01:17.000000000,37.78574399 -122.405831
39,Medical Incident,0 days 13:34:18.000000000,0 days 13:36:24.000000000,0 days 00:02:06.000000000,37.78326039 -122.4183662
40,Medical Incident,0 days 17:06:42.000000000,0 days 17:08:42.000000000,0 days 00:02:00.000000000,37.76759524 -122.4311911
41,Medical Incident,0 days 16:56:59.000000000,0 days 16:57:39.000000000,0 days 00:00:40.000000000,37.79695516 -122.3989082
42,Traffic Collision,0 days 19:31:36.000000000,0 days 19:32:11.000000000,0 days 00:00:35.000000000,37.75414577 -122.4786157
43,Traffic Collision,0 days 15:14:20.000000000,0 days 15:20:17.000000000,0 days 00:05:57.000000000,37.77578731 -122.3933551
44,Gas Leak (Natural and LP Gases),0 days 21:24:04.000000000,0 days 21:27:13.000000000,0 days 00:03:09.000000000,37.77684957 -122.4213512
45,Alarms,0 days 04:19:20.000000000,0 days 04:22:02.000000000,0 days 00:02:42.000000000,37.78299265 -122.3905285
46,Medical Incident,0 days 07:24:45.000000000,0 days 07:26:18.000000000,0 days 00:01:33.000000000,37.76272932 -122.4229584
47,Medical Incident,0 days 10:25:47.000000000,0 days 10:28:31.000000000,0 days 00:02:44.000000000,37.78176091 -122.4151051
48,Traffic Collision,0 days 14:36:10.000000000,0 days 14:38:48.000000000,0 days 00:02:38.000000000,37.76495166 -122.4319376
49,Medical Incident,0 days 18:49:47.000000000,0 days 18:53:15.000000000,0 days 00:03:28.000000000,37.7854812 -122.4212035
50,Structure Fire,0 days 23:52:02.000000000,0 days 23:52:21.000000000,0 days 00:00:19.000000000,37.78356778 -122.4192734
51,Medical Incident,0 days 07:14:40.000000000,0 days 07:20:49.000000000,0 days 00:06:09.000000000,37.79860278 -122.4231486
52,Medical Incident,0 days 10:18:16.000000000,0 days 10:21:21.000000000,0 days 00:03:05.000000000,37.76495166 -122.4319376
53,Alarms,0 days 22:16:57.000000000,0 days 22:19:15.000000000,0 days 00:02:18.000000000,37.75730761 -122.4066198
54,Medical Incident,0 days 17:56:24.000000000,0 days 18:00:29.000000000,0 days 00:04:05.000000000,37.75436288 -122.4232161
55,Medical Incident,0 days 13:05:33.000000000,0 days 13:07:02.000000000,0 days 00:01:29.000000000,37.79196281 -122.393243
56,Medical Incident,0 days 20:09:34.000000000,0 days 20:11:18.000000000,0 days 00:01:44.000000000,37.79057826 -122.4206874
57,Structure Fire,0 days 23:52:02.000000000,0 days 23:52:21.000000000,0 days 00:00:19.000000000,37.77762424 -122.3999811
58,Medical Incident,0 days 06:21:46.000000000,0 days 06:24:18.000000000,0 days 00:02:32.000000000,37.79860278 -122.4231486
59,Medical Incident,0 days 20:23:03.000000000,0 days 20:23:44.000000000,0 days 00:00:41.000000000,37.75210237 -122.440665
60,Medical Incident,0 days 18:32:04.000000000,0 days 18:35:40.000000000,0 days 00:03:36.000000000,37.78284503 -122.4132218
61,Medical Incident,0 days 04:37:30.000000000,0 days 04:40:22.000000000,0 days 00:02:52.000000000,37.78491618 -122.41195
62,Medical Incident,0 days 00:49:37.000000000,0 days 00:54:18.000000000,0 days 00:04:41.000000000,37.78233759 -122.4138914
63,Medical Incident,0 days 18:19:27.000000000,0 days 18:21:42.000000000,0 days 00:02:15.000000000,37.78086621 -122.4288032
64,Medical Incident,0 days 16:30:08.000000000,0 days 16:30:58.000000000,0 days 00:00:50.000000000,37.77305345 -122.4186182
65,Alarms,0 days 20:04:15.000000000,0 days 20:05:24.000000000,0 days 00:01:09.000000000,37.78305497 -122.4115773
66,Medical Incident,0 days 19:30:32.000000000,0 days 19:35:32.000000000,0 days 00:05:00.000000000,37.7903193 -122.4231629
67,Medical Incident,0 days 15:13:44.000000000,0 days 15:14:23.000000000,0 days 00:00:39.000000000,37.76437321 -122.4174785
68,Medical Incident,0 days 14:12:47.000000000,0 days 14:14:07.000000000,0 days 00:01:20.000000000,37.78738198 -122.396478
69,Medical Incident,0 days 14:25:21.000000000,0 days 14:27:24.000000000,0 days 00:02:03.000000000,37.78808219 -122.4100569
70,Medical Incident,0 days 11:54:29.000000000,0 days 11:57:55.000000000,0 days 00:03:26.000000000,37.78775662 -122.4130557
71,Structure Fire,0 days 19:35:15.000000000,0 days 19:36:15.000000000,0 days 00:01:00.000000000,37.79452665 -122.411364
72,Medical Incident,0 days 17:30:01.000000000,0 days 17:32:06.000000000,0 days 00:02:05.000000000,37.77428384 -122.4670881
73,Medical Incident,0 days 11:51:21.000000000,0 days 11:54:22.000000000,0 days 00:03:01.000000000,37.76799245 -122.3943915
74,Structure Fire,0 days 14:33:15.000000000,0 days 15:30:33.000000000,0 days 00:57:18.000000000,37.78144749 -122.4171456
75,Alarms,0 days 22:25:09.000000000,0 days 22:27:03.000000000,0 days 00:01:54.000000000,37.77025923 -122.4318323
76,Medical Incident,0 days 18:00:17.000000000,0 days 18:13:30.000000000,0 days 00:13:13.000000000,37.74691023 -122.4258238
77,Structure Fire,0 days 14:33:15.000000000,0 days 14:34:43.000000000,0 days 00:01:28.000000000,37.77842248 -122.4334073
78,Medical Incident,0 days 08:35:12.000000000,0 days 08:35:59.000000000,0 days 00:00:47.000000000,37.77025923 -122.4318323
79,Traffic Collision,0 days 13:10:51.000000000,0 days 13:11:40.000000000,0 days 00:00:49.000000000,37.7815854 -122.4230902
80,Medical Incident,0 days 07:54:49.000000000,0 days 07:57:05.000000000,0 days 00:02:16.000000000,37.72378785 -122.4364493
81,Medical Incident,0 days 21:38:41.000000000,0 days 21:41:41.000000000,0 days 00:03:00.000000000,37.73311384 -122.3944192
82,Alarms,0 days 23:15:04.000000000,0 days 23:18:32.000000000,0 days 00:03:28.000000000,37.78299265 -122.3905285
83,Alarms,0 days 20:03:08.000000000,0 days 20:05:57.000000000,0 days 00:02:49.000000000,37.77991167 -122.4074744
84,Medical Incident,0 days 18:17:15.000000000,0 days 18:23:57.000000000,0 days 00:06:42.000000000,37.77732776 -122.3930886
85,Medical Incident,0 days 03:03:33.000000000,0 days 03:04:48.000000000,0 days 00:01:15.000000000,37.78013037 -122.4098714
86,Alarms,0 days 22:25:09.000000000,0 days 22:27:03.000000000,0 days 00:01:54.000000000,37.78530744 -122.4742451
87,Medical Incident,0 days 22:25:39.000000000,0 days 22:26:08.000000000,0 days 00:00:29.000000000,37.74691023 -122.4258238
88,Medical Incident,0 days 14:54:21.000000000,0 days 15:04:27.000000000,0 days 00:10:06.000000000,37.7830194 -122.4638918
89,Medical Incident,0 days 03:27:39.000000000,0 days 03:31:55.000000000,0 days 00:04:16.000000000,37.74817255 -122.458695
90,Alarms,0 days 15:09:57.000000000,0 days 15:11:37.000000000,0 days 00:01:40.000000000,37.78176159 -122.4110582
91,Medical Incident,0 days 12:31:04.000000000,0 days 12:33:50.000000000,0 days 00:02:46.000000000,37.7877641 -122.4099253
92,Alarms,0 days 11:59:53.000000000,0 days 12:01:50.000000000,0 days 00:01:57.000000000,37.80546355 -122.4144122
93,Medical Incident,0 days 08:45:53.000000000,0 days 08:47:38.000000000,0 days 00:01:45.000000000,37.78420567 -122.4076127
94,Medical Incident,0 days 11:40:25.000000000,0 days 11:42:30.000000000,0 days 00:02:05.000000000,37.77409268 -122.4410844
95,Medical Incident,0 days 13:02:34.000000000,0 days 13:06:06.000000000,0 days 00:03:32.000000000,37.77814783 -122.4862064
96,Medical Incident,0 days 15:03:18.000000000,0 days 15:08:39.000000000,0 days 00:05:21.000000000,37.77319006 -122.418237
97,Medical Incident,0 days 04:31:17.000000000,0 days 04:33:33.000000000,0 days 00:02:16.000000000,37.78160513 -122.4163363
98,Medical Incident,0 days 09:06:46.000000000,0 days 09:07:45.000000000,0 days 00:00:59.000000000,37.7894925 -122.3901509
99,Structure Fire,0 days 07:48:24.000000000,0 days 07:52:04.000000000,0 days 00:03:40.000000000,37.77782816 -122.4249247
100,Medical Incident,0 days 08:24:32.000000000,0 days 08:27:22.000000000,0 days 00:02:50.000000000,37.79049502 -122.4023533
101,Medical Incident,0 days 18:36:03.000000000,0 days 18:40:26.000000000,0 days 00:04:23.000000000,37.74521892 -122.4174839
102,Medical Incident,0 days 16:56:59.000000000,0 days 16:57:39.000000000,0 days 00:00:40.000000000,37.77762424 -122.3999811
103,Structure Fire,0 days 19:35:15.000000000,0 days 19:36:15.000000000,0 days 00:01:00.000000000,37.79695516 -122.3989082
104,Medical Incident,0 days 00:33:22.000000000,0 days 00:36:45.000000000,0 days 00:03:23.000000000,37.77428384 -122.4670881
105,Alarms,0 days 23:43:00.000000000,0 days 23:47:13.000000000,0 days 00:04:13.000000000,37.76972086 -122.4179492
106,Medical Incident,0 days 15:46:20.000000000,0 days 15:50:41.000000000,0 days 00:04:21.000000000,37.77991167 -122.4074744
107,Structure Fire,0 days 23:52:02.000000000,0 days 23:52:21.000000000,0 days 00:00:19.000000000,37.78434554 -122.4077851
108,Medical Incident,0 days 13:56:18.000000000,0 days 13:57:18.000000000,0 days 00:01:00.000000000,37.79860278 -122.4231486
109,Medical Incident,0 days 11:28:31.000000000,0 days 11:30:46.000000000,0 days 00:02:15.000000000,37.7806621 -122.4228979
110,Medical Incident,0 days 10:34:38.000000000,0 days 10:38:51.000000000,0 days 00:04:13.000000000,37.78611721 -122.4198542
111,Medical Incident,0 days 10:53:28.000000000,0 days 10:56:39.000000000,0 days 00:03:11.000000000,37.75762172 -122.4188873
112,Medical Incident,0 days 15:49:03.000000000,0 days 15:49:47.000000000,0 days 00:00:44.000000000,37.77419657 -122.5100338
113,Medical Incident,0 days 16:25:57.000000000,0 days 16:27:54.000000000,0 days 00:01:57.000000000,37.78429938 -122.4101413
114,Medical Incident,0 days 04:31:17.000000000,0 days 04:33:33.000000000,0 days 00:02:16.000000000,37.78708179 -122.4258678
115,Medical Incident,0 days 19:03:28.000000000,0 days 19:07:56.000000000,0 days 00:04:28.000000000,37.7894925 -122.3901509
116,Traffic Collision,0 days 17:49:12.000000000,0 days 17:51:54.000000000,0 days 00:02:42.000000000,37.78611721 -122.4198542
117,Traffic Collision,0 days 19:50:01.000000000,0 days 19:51:05.000000000,0 days 00:01:04.000000000,37.71347595 -122.4345411
118,Medical Incident,0 days 10:36:54.000000000,0 days 10:37:41.000000000,0 days 00:00:47.000000000,37.79184209 -122.3949402
119,Alarms,0 days 23:15:04.000000000,0 days 23:18:32.000000000,0 days 00:03:28.000000000,37.78153451 -122.4281353
120,Medical Incident,0 days 14:10:45.000000000,0 days 14:12:10.000000000,0 days 00:01:25.000000000,37.77991167 -122.4074744
121,Medical Incident,0 days 08:24:32.000000000,0 days 08:27:22.000000000,0 days 00:02:50.000000000,37.77779031 -122.4128343
122,Medical Incident,0 days 16:17:39.000000000,0 days 16:20:41.000000000,0 days 00:03:02.000000000,37.74521892 -122.4174839
123,Outside Fire,0 days 01:52:58.000000000,0 days 02:00:31.000000000,0 days 00:07:33.000000000,37.78373004 -122.4137537
124,Medical Incident,0 days 07:39:17.000000000,0 days 07:41:40.000000000,0 days 00:02:23.000000000,37.76042745 -122.410962
125,Alarms,0 days 04:55:36.000000000,0 days 04:56:46.000000000,0 days 00:01:10.000000000,37.76429934 -122.4185514
126,Medical Incident,0 days 16:41:09.000000000,0 days 16:43:40.000000000,0 days 00:02:31.000000000,37.7841909 -122.4101195
127,Medical Incident,0 days 09:29:29.000000000,0 days 09:34:30.000000000,0 days 00:05:01.000000000,37.7757637 -122.4757505
128,Gas Leak (Natural and LP Gases),0 days 03:27:23.000000000,0 days 03:29:26.000000000,0 days 00:02:03.000000000,37.79494605 -122.4291559
129,Gas Leak (Natural and LP Gases),0 days 03:27:23.000000000,0 days 03:34:52.000000000,0 days 00:07:29.000000000,37.76182764 -122.3983307
130,Medical Incident,0 days 23:15:08.000000000,0 days 23:16:25.000000000,0 days 00:01:17.000000000,37.76182764 -122.3983307
131,Medical Incident,0 days 20:37:18.000000000,0 days 20:39:02.000000000,0 days 00:01:44.000000000,37.78574399 -122.405831
132,Medical Incident,0 days 21:44:38.000000000,0 days 21:45:51.000000000,0 days 00:01:13.000000000,37.73295563 -122.3875908
133,Medical Incident,0 days 21:46:59.000000000,0 days 21:50:42.000000000,0 days 00:03:43.000000000,37.75219765 -122.3974777
134,Medical Incident,0 days 06:04:12.000000000,0 days 06:08:05.000000000,0 days 00:03:53.000000000,37.78300757 -122.4458585
135,Medical Incident,0 days 11:17:17.000000000,0 days 11:19:43.000000000,0 days 00:02:26.000000000,37.77487017 -122.3944171
136,Alarms,0 days 22:16:57.000000000,0 days 22:19:15.000000000,0 days 00:02:18.000000000,37.78600483 -122.3950773
137,Medical Incident,0 days 07:05:05.000000000,0 days 07:16:21.000000000,0 days 00:11:16.000000000,37.75436288 -122.4232161
138,Electrical Hazard,0 days 23:33:10.000000000,0 days 23:37:19.000000000,0 days 00:04:09.000000000,37.77409486 -122.4200014
139,Vehicle Fire,0 days 06:26:09.000000000,0 days 06:27:43.000000000,0 days 00:01:34.000000000,37.73605995 -122.4923319
140,Medical Incident,0 days 09:43:26.000000000,0 days 09:46:57.000000000,0 days 00:03:31.000000000,37.75124396 -122.4215853
141,Medical Incident,0 days 21:46:59.000000000,0 days 21:50:42.000000000,0 days 00:03:43.000000000,37.72930177 -122.3908768
142,Alarms,0 days 12:32:17.000000000,0 days 12:34:19.000000000,0 days 00:02:02.000000000,37.78300757 -122.4458585
143,Medical Incident,0 days 10:06:06.000000000,0 days 10:07:50.000000000,0 days 00:01:44.000000000,37.78935407 -122.4000324
144,Medical Incident,0 days 07:08:07.000000000,0 days 07:11:41.000000000,0 days 00:03:34.000000000,37.75828227 -122.4907982
145,Medical Incident,0 days 07:24:45.000000000,0 days 07:26:18.000000000,0 days 00:01:33.000000000,37.70911386 -122.4318301
146,Medical Incident,0 days 15:39:02.000000000,0 days 15:40:32.000000000,0 days 00:01:30.000000000,37.76272932 -122.4229584
147,Alarms,0 days 17:01:25.000000000,0 days 17:02:51.000000000,0 days 00:01:26.000000000,37.75584156 -122.4017799
148,Alarms,0 days 14:37:03.000000000,0 days 14:39:45.000000000,0 days 00:02:42.000000000,37.7825474 -122.4122479
149,Medical Incident,0 days 01:15:06.000000000,0 days 01:16:01.000000000,0 days 00:00:55.000000000,37.78729529 -122.4158061
150,Medical Incident,0 days 20:54:41.000000000,0 days 20:57:20.000000000,0 days 00:02:39.000000000,37.7330297 -122.4342263
151,Structure Fire,0 days 23:52:02.000000000,0 days 23:52:21.000000000,0 days 00:00:19.000000000,37.7233591 -122.4019025
152,Alarms,0 days 12:09:15.000000000,0 days 12:11:46.000000000,0 days 00:02:31.000000000,37.79860278 -122.4231486
153,Medical Incident,0 days 19:43:51.000000000,0 days 19:47:45.000000000,0 days 00:03:54.000000000,37.72569336 -122.4522897
154,Medical Incident,0 days 08:24:49.000000000,0 days 08:25:24.000000000,0 days 00:00:35.000000000,37.78383852 -122.4137755
155,Medical Incident,0 days 16:40:13.000000000,0 days 16:41:28.000000000,0 days 00:01:15.000000000,37.78775592 -122.4009754
156,Outside Fire,0 days 23:41:10.000000000,0 days 23:43:37.000000000,0 days 00:02:27.000000000,37.79920486 -122.4401325
157,Medical Incident,0 days 18:17:15.000000000,0 days 18:20:09.000000000,0 days 00:02:54.000000000,37.79983846 -122.4284568
158,Medical Incident,0 days 05:44:01.000000000,0 days 05:45:37.000000000,0 days 00:01:36.000000000,37.78013037 -122.4098714
159,Medical Incident,0 days 22:59:37.000000000,0 days 23:02:39.000000000,0 days 00:03:02.000000000,37.73654494 -122.4223236
160,Medical Incident,0 days 15:15:49.000000000,0 days 15:16:06.000000000,0 days 00:00:17.000000000,37.79916843 -122.4174283
161,Medical Incident,0 days 07:39:17.000000000,0 days 07:41:40.000000000,0 days 00:02:23.000000000,37.74089198 -122.465829
162,Medical Incident,0 days 11:14:39.000000000,0 days 11:18:18.000000000,0 days 00:03:39.000000000,37.76429934 -122.4185514
163,Medical Incident,0 days 10:53:53.000000000,0 days 10:57:30.000000000,0 days 00:03:37.000000000,37.75995363 -122.4371836
164,Traffic Collision,0 days 18:07:10.000000000,0 days 18:08:02.000000000,0 days 00:00:52.000000000,37.78071918 -122.4153156
165,Medical Incident,0 days 07:07:52.000000000,0 days 07:09:15.000000000,0 days 00:01:23.000000000,37.73243866 -122.4056075
166,Medical Incident,0 days 20:01:18.000000000,0 days 20:02:23.000000000,0 days 00:01:05.000000000,37.78434554 -122.4077851
167,Medical Incident,0 days 16:35:26.000000000,0 days 16:36:30.000000000,0 days 00:01:04.000000000,37.780001 -122.4416585
168,Traffic Collision,0 days 15:14:20.000000000,0 days 15:20:17.000000000,0 days 00:05:57.000000000,37.78566436 -122.4597544
169,Medical Incident,0 days 07:53:45.000000000,0 days 07:56:20.000000000,0 days 00:02:35.000000000,37.77578731 -122.3933551
170,Structure Fire,0 days 13:13:37.000000000,0 days 13:13:46.000000000,0 days 00:00:09.000000000,37.72581695 -122.402917
171,Medical Incident,0 days 19:30:32.000000000,0 days 19:32:53.000000000,0 days 00:02:21.000000000,37.80769049 -122.4123296
172,Medical Incident,0 days 13:38:28.000000000,0 days 13:38:48.000000000,0 days 00:00:20.000000000,37.76437321 -122.4174785
173,Structure Fire,0 days 08:27:11.000000000,0 days 08:28:01.000000000,0 days 00:00:50.000000000,37.77883232 -122.4156425
174,Medical Incident,0 days 04:56:41.000000000,0 days 04:58:46.000000000,0 days 00:02:05.000000000,37.78640961 -122.4080362
175,Traffic Collision,0 days 13:10:51.000000000,0 days 13:11:40.000000000,0 days 00:00:49.000000000,37.78191397 -122.4130322
176,Structure Fire,0 days 21:35:26.000000000,0 days 21:36:47.000000000,0 days 00:01:21.000000000,37.72378785 -122.4364493
177,Alarms,0 days 22:26:22.000000000,0 days 22:27:47.000000000,0 days 00:01:25.000000000,37.75599844 -122.4094331
178,Medical Incident,0 days 23:44:44.000000000,0 days 23:45:27.000000000,0 days 00:00:43.000000000,37.80711992 -122.4164279
179,Alarms,0 days 17:01:25.000000000,0 days 17:02:51.000000000,0 days 00:01:26.000000000,37.70885361 -122.4051095
180,Medical Incident,0 days 23:36:32.000000000,0 days 23:36:52.000000000,0 days 00:00:20.000000000,37.7825474 -122.4122479
181,Medical Incident,0 days 14:25:21.000000000,0 days 14:27:24.000000000,0 days 00:02:03.000000000,37.7444275 -122.4086903
182,Medical Incident,0 days 17:56:05.000000000,0 days 17:57:01.000000000,0 days 00:00:56.000000000,37.78775662 -122.4130557
183,Medical Incident,0 days 05:11:34.000000000,0 days 05:31:46.000000000,0 days 00:20:12.000000000,37.77555816 -122.4186586
184,Gas Leak (Natural and LP Gases),0 days 10:58:33.000000000,0 days 10:59:57.000000000,0 days 00:01:24.000000000,37.78611721 -122.4198542
185,Structure Fire,0 days 12:24:27.000000000,0 days 12:25:47.000000000,0 days 00:01:20.000000000,37.75754536 -122.4730003
186,Medical Incident,0 days 17:56:05.000000000,0 days 17:57:01.000000000,0 days 00:00:56.000000000,37.783359 -122.4166949
187,Traffic Collision,0 days 19:31:25.000000000,0 days 19:33:04.000000000,0 days 00:01:39.000000000,37.77555816 -122.4186586
188,Traffic Collision,0 days 17:49:12.000000000,0 days 17:49:52.000000000,0 days 00:00:40.000000000,37.74801345 -122.4224874
189,Alarms,0 days 09:43:42.000000000,0 days 09:46:17.000000000,0 days 00:02:35.000000000,37.71347595 -122.4345411
190,Alarms,0 days 11:59:53.000000000,0 days 12:03:07.000000000,0 days 00:03:14.000000000,37.77299247 -122.4761579
191,Citizen Assist / Service Call,0 days 18:07:59.000000000,0 days 18:11:45.000000000,0 days 00:03:46.000000000,37.78420567 -122.4076127
192,Alarms,0 days 20:29:54.000000000,0 days 20:32:54.000000000,0 days 00:03:00.000000000,37.7707087 -122.4077168
193,Citizen Assist / Service Call,0 days 19:52:50.000000000,0 days 19:55:30.000000000,0 days 00:02:40.000000000,37.77416171 -122.489139
194,Medical Incident,0 days 22:15:16.000000000,0 days 22:17:05.000000000,0 days 00:01:49.000000000,37.75729278 -122.3957719
195,Alarms,0 days 22:25:09.000000000,0 days 22:32:27.000000000,0 days 00:07:18.000000000,37.75464094 -122.4186018
196,Medical Incident,0 days 08:23:45.000000000,0 days 08:26:13.000000000,0 days 00:02:28.000000000,37.74691023 -122.4258238
197,Alarms,0 days 10:05:08.000000000,0 days 10:07:04.000000000,0 days 00:01:56.000000000,37.77404134 -122.423188
198,Fuel Spill,0 days 18:46:36.000000000,0 days 18:46:50.000000000,0 days 00:00:14.000000000,37.78316766 -122.3978255
199,Medical Incident,0 days 01:24:30.000000000,0 days 01:27:19.000000000,0 days 00:02:49.000000000,37.73486828 -122.411052
200,Medical Incident,0 days 13:34:18.000000000,0 days 13:36:24.000000000,0 days 00:02:06.000000000,37.76423612 -122.4196598
201,Structure Fire,0 days 07:48:24.000000000,0 days 07:52:04.000000000,0 days 00:03:40.000000000,37.78326039 -122.4183662
202,Alarms,0 days 19:34:50.000000000,0 days 19:39:05.000000000,0 days 00:04:15.000000000,37.79049502 -122.4023533
203,Medical Incident,0 days 15:23:25.000000000,0 days 15:27:10.000000000,0 days 00:03:45.000000000,37.79569128 -122.4394237
204,Alarms,0 days 06:07:00.000000000,0 days 06:09:46.000000000,0 days 00:02:46.000000000,37.77782548 -122.4715032
205,Medical Incident,0 days 23:16:53.000000000,0 days 23:18:04.000000000,0 days 00:01:11.000000000,37.79129325 -122.3986146
206,Medical Incident,0 days 07:53:45.000000000,0 days 07:56:20.000000000,0 days 00:02:35.000000000,37.77953108 -122.4135425
207,Structure Fire,0 days 21:35:26.000000000,0 days 21:36:47.000000000,0 days 00:01:21.000000000,37.72581695 -122.402917
208,Medical Incident,0 days 12:30:40.000000000,0 days 12:31:35.000000000,0 days 00:00:55.000000000,37.75599844 -122.4094331
209,Medical Incident,0 days 11:02:58.000000000,0 days 11:05:56.000000000,0 days 00:02:58.000000000,37.78594197 -122.4080127
210,Medical Incident,0 days 02:16:59.000000000,0 days 02:22:25.000000000,0 days 00:05:26.000000000,37.78186545 -122.4142853
211,Medical Incident,0 days 22:51:53.000000000,0 days 22:55:10.000000000,0 days 00:03:17.000000000,37.7935386 -122.3928891
212,Citizen Assist / Service Call,0 days 14:23:35.000000000,0 days 14:25:49.000000000,0 days 00:02:14.000000000,37.78147394 -122.4206896
213,Medical Incident,0 days 14:43:50.000000000,0 days 14:48:28.000000000,0 days 00:04:38.000000000,37.75255649 -122.451114
214,Medical Incident,0 days 22:13:33.000000000,0 days 22:21:53.000000000,0 days 00:08:20.000000000,37.77986128 -122.3895907
215,Medical Incident,0 days 00:49:37.000000000,0 days 00:53:16.000000000,0 days 00:03:39.000000000,37.78895561 -122.4178258
216,Medical Incident,0 days 18:59:49.000000000,0 days 19:02:20.000000000,0 days 00:02:31.000000000,37.78086621 -122.4288032
