"call_type	received_timestamp	disptach_timestamp"
"Alarms	 20:04:15	 20:05:24"
"Medical Incident	 19:30:32	 19:35:32"
"Medical Incident	 15:13:44	 15:14:23"
"Medical Incident	 14:12:47	 14:14:07"
"Medical Incident	 14:25:21	 14:27:24"
"Medical Incident	 11:54:29	 11:57:55"
"Structure Fire	 19:35:15	 19:36:15"
"Medical Incident	 17:30:01	 17:32:06"
"Medical Incident	 11:51:21	 11:54:22"
"Structure Fire	 14:33:15	 15:30:33"
"Alarms	 22:25:09	 22:27:03"
"Medical Incident	 18:00:17	 18:13:30"
"Structure Fire	 14:33:15	 14:34:43"
"Medical Incident	 08:35:12	 08:35:59"
"Traffic Collision	 13:10:51	 13:11:40"
"Medical Incident	 07:54:49	 07:57:05"
"Medical Incident	 21:38:41	 21:41:41"
"Alarms	 23:15:04	 23:18:32"
"Alarms	 20:03:08	 20:05:57"
"Medical Incident	 18:17:15	 18:23:57"
"Medical Incident	 03:03:33	 03:04:48"
"Alarms	 22:25:09	 22:27:03"
"Medical Incident	 22:25:39	 22:26:08"
"Medical Incident	 14:54:21	 15:04:27"
"Medical Incident	 03:27:39	 03:31:55"
"Alarms	 15:09:57	 15:11:37"
"Medical Incident	 12:31:04	 12:33:50"
"Alarms	 11:59:53	 12:01:50"
"Medical Incident	 08:45:53	 08:47:38"
"Medical Incident	 11:40:25	 11:42:30"
"Medical Incident	 13:02:34	 13:06:06"
"Medical Incident	 15:03:18	 15:08:39"
"Medical Incident	 04:31:17	 04:33:33"
"Medical Incident	 09:06:46	 09:07:45"
"Structure Fire	 07:48:24	 07:52:04"
"Medical Incident	 08:24:32	 08:27:22"
"Medical Incident	 18:36:03	 18:40:26"
"Medical Incident	 16:56:59	 16:57:39"
"Structure Fire	 19:35:15	 19:36:15"
"Medical Incident	 00:33:22	 00:36:45"
"Alarms	 23:43:00	 23:47:13"
"Medical Incident	 15:46:20	 15:50:41"
"Structure Fire	 23:52:02	 23:52:21"
"Medical Incident	 13:56:18	 13:57:18"
"Medical Incident	 11:28:31	 11:30:46"
"Medical Incident	 10:34:38	 10:38:51"
"Medical Incident	 10:53:28	 10:56:39"
"Medical Incident	 15:49:03	 15:49:47"
"Medical Incident	 16:25:57	 16:27:54"
"Medical Incident	 04:31:17	 04:33:33"
"Medical Incident	 19:03:28	 19:07:56"
"Traffic Collision	 17:49:12	 17:51:54"
"Traffic Collision	 19:50:01	 19:51:05"
"Medical Incident	 10:36:54	 10:37:41"
"Alarms	 23:15:04	 23:18:32"
"Medical Incident	 14:10:45	 14:12:10"
"Medical Incident	 08:24:32	 08:27:22"
"Medical Incident	 16:17:39	 16:20:41"
"Outside Fire	 01:52:58	 02:00:31"
"Medical Incident	 07:39:17	 07:41:40"
"Alarms	 04:55:36	 04:56:46"
"Medical Incident	 16:41:09	 16:43:40"
"Medical Incident	 09:29:29	 09:34:30"
"Gas Leak (Natural and LP Gases)	 03:27:23	 03:29:26"
"Gas Leak (Natural and LP Gases)	 03:27:23	 03:34:52"
"Medical Incident	 23:15:08	 23:16:25"
"Medical Incident	 20:37:18	 20:39:02"
"Medical Incident	 21:44:38	 21:45:51"
"Medical Incident	 21:46:59	 21:50:42"
"Medical Incident	 06:04:12	 06:08:05"
"Medical Incident	 11:17:17	 11:19:43"
"Alarms	 22:16:57	 22:19:15"
"Medical Incident	 07:05:05	 07:16:21"
"Electrical Hazard	 23:33:10	 23:37:19"
"Vehicle Fire	 06:26:09	 06:27:43"
"Medical Incident	 09:43:26	 09:46:57"
"Medical Incident	 21:46:59	 21:50:42"
"Alarms	 12:32:17	 12:34:19"
"Medical Incident	 10:06:06	 10:07:50"
"Medical Incident	 07:08:07	 07:11:41"
"Medical Incident	 07:24:45	 07:26:18"
"Medical Incident	 15:39:02	 15:40:32"
"Alarms	 17:01:25	 17:02:51"
"Alarms	 14:37:03	 14:39:45"
"Medical Incident	 01:15:06	 01:16:01"
"Medical Incident	 20:54:41	 20:57:20"
"Structure Fire	 23:52:02	 23:52:21"
"Alarms	 12:09:15	 12:11:46"
"Medical Incident	 19:43:51	 19:47:45"
"Medical Incident	 08:24:49	 08:25:24"
"Medical Incident	 16:40:13	 16:41:28"
"Outside Fire	 23:41:10	 23:43:37"
"Medical Incident	 18:17:15	 18:20:09"
"Medical Incident	 05:44:01	 05:45:37"
"Medical Incident	 22:59:37	 23:02:39"
"Medical Incident	 15:15:49	 15:16:06"
"Medical Incident	 07:39:17	 07:41:40"
"Medical Incident	 11:14:39	 11:18:18"
"Medical Incident	 10:53:53	 10:57:30"
"Traffic Collision	 18:07:10	 18:08:02"
"Medical Incident	 07:07:52	 07:09:15"
"Medical Incident	 20:01:18	 20:02:23"
"Medical Incident	 16:35:26	 16:36:30"
"Traffic Collision	 15:14:20	 15:20:17"
"Medical Incident	 07:53:45	 07:56:20"
"Structure Fire	 13:13:37	 13:13:46"
"Medical Incident	 19:30:32	 19:32:53"
"Medical Incident	 13:38:28	 13:38:48"
"Structure Fire	 08:27:11	 08:28:01"
"Medical Incident	 04:56:41	 04:58:46"
"Traffic Collision	 13:10:51	 13:11:40"
"Structure Fire	 21:35:26	 21:36:47"
"Alarms	 22:26:22	 22:27:47"
"Medical Incident	 23:44:44	 23:45:27"
"Alarms	 17:01:25	 17:02:51"
"Medical Incident	 23:36:32	 23:36:52"
"Medical Incident	 14:25:21	 14:27:24"
"Medical Incident	 17:56:05	 17:57:01"
"Medical Incident	 05:11:34	 05:31:46"
"Gas Leak (Natural and LP Gases)	 10:58:33	 10:59:57"
"Structure Fire	 12:24:27	 12:25:47"
"Medical Incident	 17:56:05	 17:57:01"
"Traffic Collision	 19:31:25	 19:33:04"
"Traffic Collision	 17:49:12	 17:49:52"
"Alarms	 09:43:42	 09:46:17"
"Alarms	 11:59:53	 12:03:07"
"Citizen Assist / Service Call	 18:07:59	 18:11:45"
"Alarms	 20:29:54	 20:32:54"
"Citizen Assist / Service Call	 19:52:50	 19:55:30"
"Medical Incident	 22:15:16	 22:17:05"
"Alarms	 22:25:09	 22:32:27"
"Medical Incident	 08:23:45	 08:26:13"
"Alarms	 10:05:08	 10:07:04"
"Fuel Spill	 18:46:36	 18:46:50"
"Medical Incident	 01:24:30	 01:27:19"
"Medical Incident	 13:34:18	 13:36:24"
"Structure Fire	 07:48:24	 07:52:04"
"Alarms	 19:34:50	 19:39:05"
"Medical Incident	 15:23:25	 15:27:10"
"Alarms	 06:07:00	 06:09:46"
"Medical Incident	 23:16:53	 23:18:04"
"Medical Incident	 07:53:45	 07:56:20"
"Structure Fire	 21:35:26	 21:36:47"
"Medical Incident	 12:30:40	 12:31:35"
"Medical Incident	 11:02:58	 11:05:56"
"Medical Incident	 02:16:59	 02:22:25"
"Medical Incident	 22:51:53	 22:55:10"
"Citizen Assist / Service Call	 14:23:35	 14:25:49"
"Medical Incident	 14:43:50	 14:48:28"
"Medical Incident	 22:13:33	 22:21:53"
"Medical Incident	 00:49:37	 00:53:16"
"Medical Incident	 18:59:49	 19:02:20"
"Medical Incident	 16:41:09	 16:43:40"
"Medical Incident	 16:56:59	 16:59:03"
"Medical Incident	 10:58:07	 11:00:53"
"Alarms	 15:05:15	 15:06:24"
"Medical Incident	 11:02:58	 11:05:56"
"Medical Incident	 11:50:49	 11:52:12"
"Medical Incident	 13:21:28	 13:25:05"
"Medical Incident	 06:38:25	 06:40:35"
"Structure Fire	 14:33:15	 14:34:43"
"Medical Incident	 14:26:21	 14:28:55"
"Medical Incident	 22:39:34	 22:40:44"
"Medical Incident	 04:00:41	 04:05:22"
"Alarms	 15:05:15	 15:06:24"
"Medical Incident	 03:28:35	 03:30:04"
"Alarms	 19:34:50	 19:39:05"
"Structure Fire	 13:13:37	 13:13:46"
"Traffic Collision	 17:07:02	 17:07:52"
"Medical Incident	 23:16:04	 23:17:21"
"Medical Incident	 16:41:09	 16:47:10"
"Medical Incident	 11:14:39	 11:18:18"
"Medical Incident	 08:41:04	 08:41:34"
"Medical Incident	 10:35:31	 10:38:31"
"Medical Incident	 01:02:15	 01:06:19"
"Medical Incident	 07:56:26	 07:59:49"
"Medical Incident	 10:44:25	 10:46:52"
"Medical Incident	 11:54:29	 11:57:55"
"Alarms	 16:59:46	 17:01:30"
"Medical Incident	 11:14:39	 11:18:18"
"Medical Incident	 21:14:27	 21:20:37"
"Medical Incident	 10:03:16	 10:06:25"
"Medical Incident	 07:07:49	 07:09:49"
"Medical Incident	 13:56:22	 13:58:23"
"Medical Incident	 08:11:03	 08:12:11"
"Medical Incident	 19:02:14	 19:05:25"
"Structure Fire	 13:13:37	 13:13:46"
"Medical Incident	 19:02:14	 19:04:08"
"Medical Incident	 22:19:13	 22:20:18"
"Medical Incident	 16:41:09	 16:44:52"
"Alarms	 15:49:23	 15:51:17"
"Alarms	 04:19:20	 04:22:02"
"Medical Incident	 22:39:09	 22:42:06"
"Medical Incident	 11:12:57	 11:13:58"
"Structure Fire	 00:19:30	 00:35:09"
"Alarms	 02:09:42	 02:11:09"
"Structure Fire	 19:35:15	 19:36:15"
"Alarms	 20:29:54	 20:32:54"
"Medical Incident	 15:53:03	 15:55:18"
"Traffic Collision	 17:07:02	 17:07:52"
"Alarms	 10:43:08	 10:45:00"
"Structure Fire	 12:24:27	 12:25:47"
"Alarms	 23:20:27	 23:22:48"
"Medical Incident	 07:23:38	 07:24:50"
"Traffic Collision	 18:37:06	 18:37:51"
"Medical Incident	 09:29:29	 09:34:30"
"Medical Incident	 16:42:02	 16:45:47"
"Medical Incident	 18:11:09	 18:12:49"
"Medical Incident	 11:42:14	 11:44:59"
"Traffic Collision	 17:27:37	 17:28:33"
"Medical Incident	 04:24:03	 04:24:47"
"Alarms	 21:18:56	 21:21:18"
"Medical Incident	 13:43:55	 13:45:07"
"Medical Incident	 10:58:07	 11:00:53"
"Medical Incident	 16:17:39	 16:23:31"
"Alarms	 12:09:15	 12:11:46"
"Medical Incident	 09:21:51	 09:25:26"
"Medical Incident	 19:14:37	 19:15:53"
"Medical Incident	 19:10:19	 19:12:11"
"Medical Incident	 08:35:12	 08:35:59"
"Alarms	 23:43:00	 23:47:13"
"Medical Incident	 04:27:16	 04:29:06"
"Medical Incident	 10:08:58	 10:11:12"
"Structure Fire	 23:52:02	 23:52:21"
"Medical Incident	 17:08:19	 17:10:36"
"Medical Incident	 10:52:15	 10:54:07"
"Structure Fire	 00:19:30	 00:35:09"
"Structure Fire	 07:48:24	 07:52:04"
"Medical Incident	 09:43:26	 09:46:57"
"Outside Fire	 01:47:16	 01:48:37"
"Medical Incident	 05:09:52	 05:12:41"
"Medical Incident	 18:42:37	 18:43:10"
"Structure Fire	 01:37:35	 01:37:42"
"Medical Incident	 16:35:26	 16:36:30"
"Traffic Collision	 21:50:32	 21:52:47"
"Alarms	 02:09:42	 02:11:09"
"Medical Incident	 03:03:33	 03:04:48"
"Medical Incident	 01:09:19	 01:13:59"
"Medical Incident	 11:20:32	 11:24:04"
"Medical Incident	 07:56:26	 07:59:49"
"Medical Incident	 12:18:52	 12:18:52"
"Medical Incident	 20:45:37	 20:47:03"
"Medical Incident	 18:41:09	 18:42:04"
"Alarms	 18:00:28	 18:02:20"
"Medical Incident	 14:41:44	 14:49:18"
"Medical Incident	 11:50:49	 11:52:12"
"Medical Incident	 05:53:07	 05:54:00"
"Structure Fire	 00:19:30	 00:35:09"
"Medical Incident	 19:57:20	 19:59:11"
"Medical Incident	 05:57:15	 05:58:55"
"Medical Incident	 09:25:43	 09:27:50"
"Medical Incident	 09:57:47	 09:57:47"
"Medical Incident	 23:54:15	 23:59:39"
"Structure Fire	 21:35:26	 21:36:47"
"Medical Incident	 05:50:20	 05:52:45"
"Medical Incident	 12:30:54	 12:37:36"
"Medical Incident	 11:59:40	 12:01:16"
"Medical Incident	 22:01:25	 22:05:52"
"Medical Incident	 19:41:44	 19:46:03"
"Medical Incident	 14:54:21	 15:03:54"
"Medical Incident	 17:08:19	 17:10:36"
"Medical Incident	 22:06:28	 22:08:13"
"Medical Incident	 05:50:20	 05:52:45"
"Medical Incident	 05:44:01	 05:46:05"
"Structure Fire	 19:35:15	 19:36:15"
"Medical Incident	 21:47:22	 21:48:53"
"Medical Incident	 04:59:41	 05:01:10"
"Structure Fire	 21:35:26	 21:36:47"
"Medical Incident	 21:56:24	 21:56:56"
"Medical Incident	 18:02:47	 18:06:51"
"Medical Incident	 15:11:32	 15:12:58"
"Medical Incident	 18:47:31	 18:49:48"
"Traffic Collision	 17:30:15	 17:30:44"
"Alarms	 09:40:45	 09:42:15"
"Medical Incident	 16:35:26	 16:36:30"
"Gas Leak (Natural and LP Gases)	 10:58:33	 10:59:57"
"Medical Incident	 01:24:30	 01:27:19"
"Medical Incident	 18:59:41	 19:03:14"
"Medical Incident	 11:28:31	 11:30:46"
"Medical Incident	 17:56:24	 18:00:29"
"Medical Incident	 05:38:38	 05:38:43"
"Medical Incident	 11:51:21	 11:54:22"
"Traffic Collision	 19:31:25	 19:33:04"
"Medical Incident	 21:14:15	 21:14:53"
"Structure Fire	 14:33:15	 14:34:43"
"Structure Fire	 23:52:02	 23:52:21"
"Medical Incident	 20:47:00	 20:48:44"
"Medical Incident	 14:42:58	 14:44:25"
"Medical Incident	 15:19:10	 15:23:51"
"Medical Incident	 00:47:57	 00:49:50"
"Medical Incident	 13:38:28	 13:38:48"
"Medical Incident	 12:32:58	 12:35:10"
"Medical Incident	 17:51:57	 17:54:28"
"Medical Incident	 22:37:48	 22:43:41"
"Alarms	 16:21:35	 16:24:48"
"Medical Incident	 15:32:23	 15:32:23"
"Medical Incident	 06:58:12	 07:01:31"
"Medical Incident	 14:21:43	 14:26:34"
"Structure Fire	 14:33:15	 14:34:43"
"Alarms	 10:05:08	 10:07:04"
"Traffic Collision	 19:51:29	 19:53:41"
"Medical Incident	 09:30:28	 09:32:07"
"Medical Incident	 08:04:39	 08:07:02"
"Medical Incident	 10:53:53	 10:57:30"
"Medical Incident	 13:21:28	 13:25:05"
"Medical Incident	 22:39:24	 22:40:00"
"Medical Incident	 08:52:33	 08:53:09"
"Medical Incident	 17:11:51	 17:12:12"
"Structure Fire	 14:33:15	 14:34:43"
"Medical Incident	 00:49:37	 00:53:16"
"Medical Incident	 01:18:28	 01:21:47"
"Alarms	 15:09:57	 15:11:37"
"Medical Incident	 16:38:02	 16:39:26"
"Alarms	 14:37:03	 14:39:45"
"Structure Fire	 08:27:11	 08:28:01"
"Smoke Investigation (Outside)	 05:17:11	 05:19:03"
"Structure Fire	 18:14:27	 18:14:37"
"Medical Incident	 03:09:36	 03:11:43"
"Medical Incident	 20:13:17	 20:15:54"
"Traffic Collision	 14:36:10	 14:38:48"
"Medical Incident	 19:57:20	 19:59:11"
"Medical Incident	 16:22:11	 16:24:22"
"Medical Incident	 10:46:03	 10:47:24"
"Structure Fire	 07:48:24	 07:52:04"
"Medical Incident	 17:55:31	 17:59:05"
"Medical Incident	 09:54:42	 10:01:52"
"Medical Incident	 14:38:19	 14:43:36"
"Medical Incident	 16:42:02	 16:45:47"
"Medical Incident	 13:02:34	 13:04:14"
"Structure Fire	 15:27:16	 15:27:41"
"Medical Incident	 08:11:03	 08:12:11"
"Medical Incident	 22:41:06	 22:42:55"
"Alarms	 04:55:36	 04:56:46"
"Medical Incident	 04:27:16	 04:29:06"
"Medical Incident	 13:34:40	 13:35:48"
"Vehicle Fire	 06:26:09	 06:27:43"
"Medical Incident	 05:27:24	 05:29:09"
"Alarms	 22:53:52	 22:55:13"
"Medical Incident	 18:47:25	 18:54:03"
"Medical Incident	 18:19:27	 18:21:42"
"Medical Incident	 22:30:30	 22:32:20"
"Structure Fire	 21:35:26	 21:36:47"
"Alarms	 16:59:46	 17:01:30"
"Gas Leak (Natural and LP Gases)	 17:17:55	 17:19:19"
"Medical Incident	 10:19:18	 10:20:43"
"Medical Incident	 23:16:53	 23:18:04"
"Traffic Collision	 19:31:36	 19:32:11"
"Gas Leak (Natural and LP Gases)	 21:24:04	 21:27:13"
"Alarms	 09:43:42	 09:46:17"
"Medical Incident	 05:09:52	 05:12:41"
"Medical Incident	 11:59:40	 12:01:16"
"Medical Incident	 00:14:57	 00:17:33"
"Medical Incident	 19:24:51	 19:26:54"
"Medical Incident	 06:24:30	 06:29:36"
"Other	 23:14:14	 23:20:59"
"Structure Fire	 00:19:30	 00:35:09"
"Medical Incident	 01:57:57	 02:00:03"
"Medical Incident	 15:11:32	 15:12:58"
"Medical Incident	 11:42:43	 11:44:02"
"Medical Incident	 11:31:18	 11:33:52"
"Structure Fire	 07:48:24	 07:52:04"
"Medical Incident	 22:39:09	 22:42:06"
"Medical Incident	 16:21:49	 16:25:20"
"Medical Incident	 15:25:18	 15:28:42"
"Medical Incident	 20:24:28	 20:27:05"
"Medical Incident	 16:25:57	 16:27:54"
"Gas Leak (Natural and LP Gases)	 10:58:33	 10:59:57"
"Structure Fire	 07:48:24	 07:52:04"
"Structure Fire	 19:35:15	 19:36:15"
"Citizen Assist / Service Call	 19:09:15	 19:11:30"
"Medical Incident	 05:11:34	 05:24:21"
"Other	 19:07:16	 20:11:14"
"Medical Incident	 11:40:00	 11:43:03"
"Alarms	 09:40:45	 09:42:15"
"Alarms	 09:40:45	 09:42:15"
"Alarms	 11:59:53	 12:01:50"
"Alarms	 22:53:52	 22:55:13"
"Traffic Collision	 19:50:01	 19:51:05"
"Medical Incident	 09:43:26	 09:46:57"
"Alarms	 11:51:58	 11:53:30"
"Medical Incident	 12:44:04	 12:44:40"
"Structure Fire	 07:48:24	 07:52:04"
"Medical Incident	 10:59:43	 11:01:42"
"Medical Incident	 10:19:18	 10:20:43"
"Medical Incident	 03:41:24	 03:45:34"
"Traffic Collision	 18:07:10	 18:08:02"
"Medical Incident	 03:28:08	 03:34:08"
"Medical Incident	 01:02:15	 01:06:19"
"Medical Incident	 14:43:50	 14:48:28"
"Medical Incident	 16:40:13	 16:42:42"
"Structure Fire	 00:19:30	 00:35:09"
"Traffic Collision	 17:03:30	 17:03:54"
"Alarms	 23:18:04	 23:19:46"
"Medical Incident	 07:17:08	 07:19:46"
"Alarms	 14:37:03	 14:41:32"
"Medical Incident	 15:48:18	 15:52:13"
"Medical Incident	 15:03:18	 15:03:59"
"Structure Fire	 09:48:29	 09:48:52"
"Medical Incident	 07:52:16	 07:59:11"
"Medical Incident	 09:50:48	 09:52:28"
"Medical Incident	 01:15:06	 01:16:01"
"Medical Incident	 15:15:49	 15:16:06"
"Medical Incident	 22:13:33	 22:21:53"
"Medical Incident	 16:42:02	 16:46:44"
"Alarms	 22:25:09	 22:27:03"
"Medical Incident	 06:04:12	 06:05:36"
"Structure Fire	 12:24:27	 12:25:47"
"Medical Incident	 12:31:04	 12:33:50"
"Medical Incident	 00:10:23	 00:11:29"
"Gas Leak (Natural and LP Gases)	 15:13:55	 15:17:09"
"Medical Incident	 01:18:17	 01:23:00"
"Medical Incident	 17:03:21	 17:05:02"
"Alarms	 10:18:34	 10:19:38"
"Alarms	 23:15:04	 23:18:32"
"Alarms	 15:49:23	 15:51:17"
"Medical Incident	 16:56:59	 16:57:39"
"Medical Incident	 07:56:26	 08:00:51"
"Medical Incident	 14:31:44	 14:33:10"
"Medical Incident	 10:55:57	 11:02:21"
"Structure Fire	 14:33:15	 14:45:48"
"Traffic Collision	 18:37:06	 18:37:51"
"Medical Incident	 17:25:33	 17:29:48"
"Structure Fire	 18:35:47	 18:36:02"
"Medical Incident	 11:31:18	 11:33:52"
"Medical Incident	 23:37:14	 23:38:51"
"Medical Incident	 14:09:00	 14:11:22"
"Medical Incident	 09:06:46	 09:07:45"
"Structure Fire	 23:52:02	 23:52:21"
"Structure Fire	 12:24:27	 12:25:47"
"Medical Incident	 03:09:36	 03:10:40"
"Structure Fire	 00:19:30	 00:35:09"
"Other	 19:07:16	 19:08:34"
"Alarms	 17:01:25	 17:02:51"
"Alarms	 23:20:27	 23:22:48"
"Medical Incident	 23:36:32	 23:36:52"
"Medical Incident	 11:55:50	 11:58:28"
"Medical Incident	 06:50:56	 06:52:12"
"Structure Fire	 01:37:35	 01:37:42"
"Medical Incident	 20:12:13	 20:15:25"
"Medical Incident	 13:34:40	 13:35:48"
"Alarms	 23:18:04	 23:19:46"
"Alarms	 09:43:42	 09:46:17"
"Medical Incident	 18:00:17	 18:02:05"
"Medical Incident	 18:49:47	 18:51:20"
"Medical Incident	 16:30:08	 16:30:58"
"Medical Incident	 20:23:03	 20:23:44"
"Medical Incident	 15:32:23	 15:32:50"
"Alarms	 19:41:21	 19:43:04"
"Medical Incident	 16:47:14	 16:49:10"
"Alarms	 06:07:00	 06:09:46"
"Alarms	 23:43:00	 23:47:13"
"Medical Incident	 20:26:20	 20:30:04"
"Medical Incident	 06:50:56	 06:52:12"
"Medical Incident	 06:04:12	 06:05:36"
"Medical Incident	 02:15:00	 02:15:26"
"Medical Incident	 11:12:57	 11:13:58"
"Medical Incident	 23:16:04	 23:18:57"
"Medical Incident	 05:44:01	 05:50:56"
"Medical Incident	 08:45:53	 08:47:38"
"Medical Incident	 23:08:33	 23:09:51"
"Structure Fire	 19:35:15	 19:36:15"
"Structure Fire	 19:35:15	 19:36:15"
"Outside Fire	 01:52:58	 01:54:41"
"Other	 13:43:37	 13:43:37"
"Medical Incident	 20:47:00	 20:48:44"
"Medical Incident	 18:11:09	 18:12:49"
"Outside Fire	 01:59:13	 01:59:13"
"Medical Incident	 14:09:00	 14:13:00"
"Alarms	 12:32:17	 12:34:19"
"Structure Fire	 07:48:24	 07:52:04"
"Outside Fire	 00:18:37	 00:19:45"
"Medical Incident	 01:18:17	 01:23:00"
"Alarms	 02:09:42	 02:11:09"
"Traffic Collision	 14:36:10	 14:38:48"
"Medical Incident	 12:33:12	 12:36:07"
"Medical Incident	 20:09:34	 20:11:18"
"Medical Incident	 07:17:08	 07:19:46"
"Traffic Collision	 13:10:51	 13:13:11"
"Medical Incident	 18:32:39	 18:34:10"
"Alarms	 11:59:53	 12:01:50"
"Structure Fire	 18:14:27	 18:14:37"
"Medical Incident	 09:54:42	 10:01:52"
"Medical Incident	 20:16:40	 20:18:38"
"Medical Incident	 10:53:28	 10:56:39"
"Traffic Collision	 17:03:30	 17:03:54"
"Medical Incident	 20:25:32	 20:31:08"
"Alarms	 18:00:28	 18:02:20"
"Traffic Collision	 14:36:10	 14:38:48"
"Medical Incident	 11:42:14	 11:44:59"
"Medical Incident	 15:19:10	 15:22:14"
"Alarms	 22:53:52	 22:55:13"
"Medical Incident	 20:24:12	 20:27:26"
"Medical Incident	 09:53:12	 09:54:01"
"Medical Incident	 16:38:02	 16:39:26"
"Medical Incident	 07:52:16	 07:59:11"
"Structure Fire	 00:19:30	 00:35:09"
"Alarms	 10:43:08	 10:45:00"
"Medical Incident	 20:13:17	 20:15:54"
"Medical Incident	 01:18:28	 01:21:47"
"Medical Incident	 22:41:06	 22:44:24"
"Medical Incident	 12:30:54	 12:33:04"
"Structure Fire	 07:48:24	 07:55:11"
"Medical Incident	 10:36:54	 10:37:41"
"Medical Incident	 11:42:43	 11:44:02"
"Medical Incident	 23:23:43	 23:26:40"
"Alarms	 12:09:15	 12:11:46"
"Medical Incident	 01:03:18	 01:03:37"
"Medical Incident	 10:46:03	 10:47:24"
"Outside Fire	 23:41:10	 23:55:14"
"Medical Incident	 08:19:58	 08:22:51"
"Structure Fire	 07:48:24	 07:52:04"
"Medical Incident	 22:04:58	 22:06:44"
"Medical Incident	 12:04:09	 12:04:56"
"Medical Incident	 16:56:59	 16:57:39"
"Medical Incident	 12:30:54	 12:33:04"
"Alarms	 15:05:15	 15:06:24"
"Medical Incident	 22:39:34	 22:40:44"
"Medical Incident	 05:27:24	 05:29:09"
"Medical Incident	 00:47:57	 00:49:50"
"Medical Incident	 14:09:00	 14:11:22"
"Medical Incident	 12:08:29	 12:10:43"
"Structure Fire	 23:52:02	 23:52:21"
"Medical Incident	 23:37:39	 23:40:34"
"Medical Incident	 11:42:14	 11:46:02"
"Medical Incident	 10:06:06	 10:07:50"
"Structure Fire	 00:19:30	 00:35:09"
"Structure Fire	 19:35:15	 19:36:15"
"Medical Incident	 15:02:40	 15:05:15"
"Medical Incident	 06:38:25	 06:40:35"
"Alarms	 04:55:36	 04:56:46"
"Structure Fire	 23:52:02	 23:52:21"
"Medical Incident	 02:15:00	 02:24:04"
"Medical Incident	 18:32:04	 18:55:47"
"Medical Incident	 20:04:05	 20:04:34"
"Medical Incident	 22:51:53	 22:53:26"
"Medical Incident	 18:08:44	 18:10:07"
"Structure Fire	 09:48:29	 09:48:52"
"Traffic Collision	 17:49:12	 17:49:52"
"Medical Incident	 11:52:30	 11:52:59"
"Medical Incident	 14:31:44	 14:33:10"
"Structure Fire	 07:14:18	 07:14:49"
"Medical Incident	 16:47:14	 16:48:05"
