,call_type,received_timestamp,disptach_timestamp,dispatch_time
149,Medical Incident,0 days 01:15:06.000000000,0 days 01:16:01.000000000,0 days 00:00:55.000000000
150,Medical Incident,0 days 20:54:41.000000000,0 days 20:57:20.000000000,0 days 00:02:39.000000000
151,Structure Fire,0 days 23:52:02.000000000,0 days 23:52:21.000000000,0 days 00:00:19.000000000
152,Alarms,0 days 12:09:15.000000000,0 days 12:11:46.000000000,0 days 00:02:31.000000000
153,Medical Incident,0 days 19:43:51.000000000,0 days 19:47:45.000000000,0 days 00:03:54.000000000
154,Medical Incident,0 days 08:24:49.000000000,0 days 08:25:24.000000000,0 days 00:00:35.000000000
155,Medical Incident,0 days 16:40:13.000000000,0 days 16:41:28.000000000,0 days 00:01:15.000000000
156,Outside Fire,0 days 23:41:10.000000000,0 days 23:43:37.000000000,0 days 00:02:27.000000000
157,Medical Incident,0 days 18:17:15.000000000,0 days 18:20:09.000000000,0 days 00:02:54.000000000
158,Medical Incident,0 days 05:44:01.000000000,0 days 05:45:37.000000000,0 days 00:01:36.000000000
159,Medical Incident,0 days 22:59:37.000000000,0 days 23:02:39.000000000,0 days 00:03:02.000000000
160,Medical Incident,0 days 15:15:49.000000000,0 days 15:16:06.000000000,0 days 00:00:17.000000000
161,Medical Incident,0 days 07:39:17.000000000,0 days 07:41:40.000000000,0 days 00:02:23.000000000
162,Medical Incident,0 days 11:14:39.000000000,0 days 11:18:18.000000000,0 days 00:03:39.000000000
163,Medical Incident,0 days 10:53:53.000000000,0 days 10:57:30.000000000,0 days 00:03:37.000000000
164,Traffic Collision,0 days 18:07:10.000000000,0 days 18:08:02.000000000,0 days 00:00:52.000000000
165,Medical Incident,0 days 07:07:52.000000000,0 days 07:09:15.000000000,0 days 00:01:23.000000000
166,Medical Incident,0 days 20:01:18.000000000,0 days 20:02:23.000000000,0 days 00:01:05.000000000
167,Medical Incident,0 days 16:35:26.000000000,0 days 16:36:30.000000000,0 days 00:01:04.000000000
168,Traffic Collision,0 days 15:14:20.000000000,0 days 15:20:17.000000000,0 days 00:05:57.000000000
169,Medical Incident,0 days 07:53:45.000000000,0 days 07:56:20.000000000,0 days 00:02:35.000000000
170,Structure Fire,0 days 13:13:37.000000000,0 days 13:13:46.000000000,0 days 00:00:09.000000000
171,Medical Incident,0 days 19:30:32.000000000,0 days 19:32:53.000000000,0 days 00:02:21.000000000
172,Medical Incident,0 days 13:38:28.000000000,0 days 13:38:48.000000000,0 days 00:00:20.000000000
173,Structure Fire,0 days 08:27:11.000000000,0 days 08:28:01.000000000,0 days 00:00:50.000000000
174,Medical Incident,0 days 04:56:41.000000000,0 days 04:58:46.000000000,0 days 00:02:05.000000000
175,Traffic Collision,0 days 13:10:51.000000000,0 days 13:11:40.000000000,0 days 00:00:49.000000000
176,Structure Fire,0 days 21:35:26.000000000,0 days 21:36:47.000000000,0 days 00:01:21.000000000
177,Alarms,0 days 22:26:22.000000000,0 days 22:27:47.000000000,0 days 00:01:25.000000000
178,Medical Incident,0 days 23:44:44.000000000,0 days 23:45:27.000000000,0 days 00:00:43.000000000
179,Alarms,0 days 17:01:25.000000000,0 days 17:02:51.000000000,0 days 00:01:26.000000000
180,Medical Incident,0 days 23:36:32.000000000,0 days 23:36:52.000000000,0 days 00:00:20.000000000
181,Medical Incident,0 days 14:25:21.000000000,0 days 14:27:24.000000000,0 days 00:02:03.000000000
182,Medical Incident,0 days 17:56:05.000000000,0 days 17:57:01.000000000,0 days 00:00:56.000000000
183,Medical Incident,0 days 05:11:34.000000000,0 days 05:31:46.000000000,0 days 00:20:12.000000000
184,Gas Leak (Natural and LP Gases),0 days 10:58:33.000000000,0 days 10:59:57.000000000,0 days 00:01:24.000000000
185,Structure Fire,0 days 12:24:27.000000000,0 days 12:25:47.000000000,0 days 00:01:20.000000000
186,Medical Incident,0 days 17:56:05.000000000,0 days 17:57:01.000000000,0 days 00:00:56.000000000
187,Traffic Collision,0 days 19:31:25.000000000,0 days 19:33:04.000000000,0 days 00:01:39.000000000
188,Traffic Collision,0 days 17:49:12.000000000,0 days 17:49:52.000000000,0 days 00:00:40.000000000
189,Alarms,0 days 09:43:42.000000000,0 days 09:46:17.000000000,0 days 00:02:35.000000000
190,Alarms,0 days 11:59:53.000000000,0 days 12:03:07.000000000,0 days 00:03:14.000000000
191,Citizen Assist / Service Call,0 days 18:07:59.000000000,0 days 18:11:45.000000000,0 days 00:03:46.000000000
192,Alarms,0 days 20:29:54.000000000,0 days 20:32:54.000000000,0 days 00:03:00.000000000
193,Citizen Assist / Service Call,0 days 19:52:50.000000000,0 days 19:55:30.000000000,0 days 00:02:40.000000000
194,Medical Incident,0 days 22:15:16.000000000,0 days 22:17:05.000000000,0 days 00:01:49.000000000
195,Alarms,0 days 22:25:09.000000000,0 days 22:32:27.000000000,0 days 00:07:18.000000000
196,Medical Incident,0 days 08:23:45.000000000,0 days 08:26:13.000000000,0 days 00:02:28.000000000
197,Alarms,0 days 10:05:08.000000000,0 days 10:07:04.000000000,0 days 00:01:56.000000000
198,Fuel Spill,0 days 18:46:36.000000000,0 days 18:46:50.000000000,0 days 00:00:14.000000000
199,Medical Incident,0 days 01:24:30.000000000,0 days 01:27:19.000000000,0 days 00:02:49.000000000
200,Medical Incident,0 days 13:34:18.000000000,0 days 13:36:24.000000000,0 days 00:02:06.000000000
201,Structure Fire,0 days 07:48:24.000000000,0 days 07:52:04.000000000,0 days 00:03:40.000000000
202,Alarms,0 days 19:34:50.000000000,0 days 19:39:05.000000000,0 days 00:04:15.000000000
203,Medical Incident,0 days 15:23:25.000000000,0 days 15:27:10.000000000,0 days 00:03:45.000000000
204,Alarms,0 days 06:07:00.000000000,0 days 06:09:46.000000000,0 days 00:02:46.000000000
205,Medical Incident,0 days 23:16:53.000000000,0 days 23:18:04.000000000,0 days 00:01:11.000000000
206,Medical Incident,0 days 07:53:45.000000000,0 days 07:56:20.000000000,0 days 00:02:35.000000000
207,Structure Fire,0 days 21:35:26.000000000,0 days 21:36:47.000000000,0 days 00:01:21.000000000
208,Medical Incident,0 days 12:30:40.000000000,0 days 12:31:35.000000000,0 days 00:00:55.000000000
209,Medical Incident,0 days 11:02:58.000000000,0 days 11:05:56.000000000,0 days 00:02:58.000000000
210,Medical Incident,0 days 02:16:59.000000000,0 days 02:22:25.000000000,0 days 00:05:26.000000000
211,Medical Incident,0 days 22:51:53.000000000,0 days 22:55:10.000000000,0 days 00:03:17.000000000
212,Citizen Assist / Service Call,0 days 14:23:35.000000000,0 days 14:25:49.000000000,0 days 00:02:14.000000000
213,Medical Incident,0 days 14:43:50.000000000,0 days 14:48:28.000000000,0 days 00:04:38.000000000
214,Medical Incident,0 days 22:13:33.000000000,0 days 22:21:53.000000000,0 days 00:08:20.000000000
215,Medical Incident,0 days 00:49:37.000000000,0 days 00:53:16.000000000,0 days 00:03:39.000000000
216,Medical Incident,0 days 18:59:49.000000000,0 days 19:02:20.000000000,0 days 00:02:31.000000000
217,Medical Incident,0 days 16:41:09.000000000,0 days 16:43:40.000000000,0 days 00:02:31.000000000
218,Medical Incident,0 days 16:56:59.000000000,0 days 16:59:03.000000000,0 days 00:02:04.000000000
219,Medical Incident,0 days 10:58:07.000000000,0 days 11:00:53.000000000,0 days 00:02:46.000000000
220,Alarms,0 days 15:05:15.000000000,0 days 15:06:24.000000000,0 days 00:01:09.000000000
221,Medical Incident,0 days 11:02:58.000000000,0 days 11:05:56.000000000,0 days 00:02:58.000000000
222,Medical Incident,0 days 11:50:49.000000000,0 days 11:52:12.000000000,0 days 00:01:23.000000000
223,Medical Incident,0 days 13:21:28.000000000,0 days 13:25:05.000000000,0 days 00:03:37.000000000
224,Medical Incident,0 days 06:38:25.000000000,0 days 06:40:35.000000000,0 days 00:02:10.000000000
225,Structure Fire,0 days 14:33:15.000000000,0 days 14:34:43.000000000,0 days 00:01:28.000000000
226,Medical Incident,0 days 14:26:21.000000000,0 days 14:28:55.000000000,0 days 00:02:34.000000000
227,Medical Incident,0 days 22:39:34.000000000,0 days 22:40:44.000000000,0 days 00:01:10.000000000
228,Medical Incident,0 days 04:00:41.000000000,0 days 04:05:22.000000000,0 days 00:04:41.000000000
229,Alarms,0 days 15:05:15.000000000,0 days 15:06:24.000000000,0 days 00:01:09.000000000
230,Medical Incident,0 days 03:28:35.000000000,0 days 03:30:04.000000000,0 days 00:01:29.000000000
231,Alarms,0 days 19:34:50.000000000,0 days 19:39:05.000000000,0 days 00:04:15.000000000
232,Structure Fire,0 days 13:13:37.000000000,0 days 13:13:46.000000000,0 days 00:00:09.000000000
233,Traffic Collision,0 days 17:07:02.000000000,0 days 17:07:52.000000000,0 days 00:00:50.000000000
234,Medical Incident,0 days 23:16:04.000000000,0 days 23:17:21.000000000,0 days 00:01:17.000000000
235,Medical Incident,0 days 16:41:09.000000000,0 days 16:47:10.000000000,0 days 00:06:01.000000000
236,Medical Incident,0 days 11:14:39.000000000,0 days 11:18:18.000000000,0 days 00:03:39.000000000
237,Medical Incident,0 days 08:41:04.000000000,0 days 08:41:34.000000000,0 days 00:00:30.000000000
238,Medical Incident,0 days 10:35:31.000000000,0 days 10:38:31.000000000,0 days 00:03:00.000000000
239,Medical Incident,0 days 01:02:15.000000000,0 days 01:06:19.000000000,0 days 00:04:04.000000000
240,Medical Incident,0 days 07:56:26.000000000,0 days 07:59:49.000000000,0 days 00:03:23.000000000
241,Medical Incident,0 days 10:44:25.000000000,0 days 10:46:52.000000000,0 days 00:02:27.000000000
242,Medical Incident,0 days 11:54:29.000000000,0 days 11:57:55.000000000,0 days 00:03:26.000000000
243,Alarms,0 days 16:59:46.000000000,0 days 17:01:30.000000000,0 days 00:01:44.000000000
244,Medical Incident,0 days 11:14:39.000000000,0 days 11:18:18.000000000,0 days 00:03:39.000000000
245,Medical Incident,0 days 21:14:27.000000000,0 days 21:20:37.000000000,0 days 00:06:10.000000000
246,Medical Incident,0 days 10:03:16.000000000,0 days 10:06:25.000000000,0 days 00:03:09.000000000
247,Medical Incident,0 days 07:07:49.000000000,0 days 07:09:49.000000000,0 days 00:02:00.000000000
248,Medical Incident,0 days 13:56:22.000000000,0 days 13:58:23.000000000,0 days 00:02:01.000000000
249,Medical Incident,0 days 08:11:03.000000000,0 days 08:12:11.000000000,0 days 00:01:08.000000000
250,Medical Incident,0 days 19:02:14.000000000,0 days 19:05:25.000000000,0 days 00:03:11.000000000
251,Structure Fire,0 days 13:13:37.000000000,0 days 13:13:46.000000000,0 days 00:00:09.000000000
252,Medical Incident,0 days 19:02:14.000000000,0 days 19:04:08.000000000,0 days 00:01:54.000000000
253,Medical Incident,0 days 22:19:13.000000000,0 days 22:20:18.000000000,0 days 00:01:05.000000000
254,Medical Incident,0 days 16:41:09.000000000,0 days 16:44:52.000000000,0 days 00:03:43.000000000
255,Alarms,0 days 15:49:23.000000000,0 days 15:51:17.000000000,0 days 00:01:54.000000000
256,Alarms,0 days 04:19:20.000000000,0 days 04:22:02.000000000,0 days 00:02:42.000000000
257,Medical Incident,0 days 22:39:09.000000000,0 days 22:42:06.000000000,0 days 00:02:57.000000000
258,Medical Incident,0 days 11:12:57.000000000,0 days 11:13:58.000000000,0 days 00:01:01.000000000
259,Structure Fire,0 days 00:19:30.000000000,0 days 00:35:09.000000000,0 days 00:15:39.000000000
260,Alarms,0 days 02:09:42.000000000,0 days 02:11:09.000000000,0 days 00:01:27.000000000
261,Structure Fire,0 days 19:35:15.000000000,0 days 19:36:15.000000000,0 days 00:01:00.000000000
262,Alarms,0 days 20:29:54.000000000,0 days 20:32:54.000000000,0 days 00:03:00.000000000
263,Medical Incident,0 days 15:53:03.000000000,0 days 15:55:18.000000000,0 days 00:02:15.000000000
264,Traffic Collision,0 days 17:07:02.000000000,0 days 17:07:52.000000000,0 days 00:00:50.000000000
265,Alarms,0 days 10:43:08.000000000,0 days 10:45:00.000000000,0 days 00:01:52.000000000
266,Structure Fire,0 days 12:24:27.000000000,0 days 12:25:47.000000000,0 days 00:01:20.000000000
267,Alarms,0 days 23:20:27.000000000,0 days 23:22:48.000000000,0 days 00:02:21.000000000
268,Medical Incident,0 days 07:23:38.000000000,0 days 07:24:50.000000000,0 days 00:01:12.000000000
269,Traffic Collision,0 days 18:37:06.000000000,0 days 18:37:51.000000000,0 days 00:00:45.000000000
270,Medical Incident,0 days 09:29:29.000000000,0 days 09:34:30.000000000,0 days 00:05:01.000000000
271,Medical Incident,0 days 16:42:02.000000000,0 days 16:45:47.000000000,0 days 00:03:45.000000000
272,Medical Incident,0 days 18:11:09.000000000,0 days 18:12:49.000000000,0 days 00:01:40.000000000
