,call_type,received_timestamp
121,Medical Incident,1/24/2018
122,Medical Incident,1/24/2018
123,Medical Incident,1/24/2018
124,Outside Fire,1/24/2018
125,Medical Incident,1/24/2018
126,Alarms,1/24/2018
127,Medical Incident,1/24/2018
128,Medical Incident,1/24/2018
129,Gas Leak (Natural and LP Gases),1/24/2018
130,Gas Leak (Natural and LP Gases),1/24/2018
131,Medical Incident,1/24/2018
132,Medical Incident,1/24/2018
133,Medical Incident,1/24/2018
134,Medical Incident,1/24/2018
135,Medical Incident,1/24/2018
136,Medical Incident,1/24/2018
137,Alarms,1/24/2018
138,Medical Incident,1/24/2018
139,Electrical Hazard,1/24/2018
140,Vehicle Fire,1/24/2018
141,Medical Incident,1/24/2018
142,Medical Incident,1/24/2018
143,Alarms,1/24/2018
144,Medical Incident,1/24/2018
145,Medical Incident,1/24/2018
146,Medical Incident,1/24/2018
147,Medical Incident,1/24/2018
148,Alarms,1/24/2018
149,Alarms,1/24/2018
150,Medical Incident,1/24/2018
151,Medical Incident,1/24/2018
152,Structure Fire,1/24/2018
153,Alarms,1/24/2018
154,Medical Incident,1/24/2018
155,Medical Incident,1/24/2018
156,Medical Incident,1/24/2018
157,Outside Fire,1/24/2018
158,Medical Incident,1/24/2018
159,Medical Incident,1/24/2018
160,Medical Incident,1/24/2018
161,Medical Incident,1/24/2018
162,Medical Incident,1/24/2018
163,Medical Incident,1/24/2018
164,Medical Incident,1/24/2018
165,Traffic Collision,1/24/2018
166,Medical Incident,1/24/2018
167,Medical Incident,1/24/2018
168,Medical Incident,1/24/2018
169,Traffic Collision,1/24/2018
170,Medical Incident,1/24/2018
171,Structure Fire,1/24/2018
172,Medical Incident,1/24/2018
173,Medical Incident,1/24/2018
174,Structure Fire,1/24/2018
175,Medical Incident,1/24/2018
176,Traffic Collision,1/24/2018
177,Structure Fire,1/24/2018
178,Alarms,1/24/2018
179,Medical Incident,1/24/2018
180,Alarms,1/24/2018
181,Medical Incident,1/24/2018
182,Medical Incident,1/24/2018
183,Medical Incident,1/24/2018
184,Medical Incident,1/24/2018
185,Gas Leak (Natural and LP Gases),1/24/2018
186,Structure Fire,1/24/2018
187,Medical Incident,1/24/2018
188,Traffic Collision,1/24/2018
189,Traffic Collision,1/24/2018
190,Alarms,1/24/2018
191,Alarms,1/24/2018
192,Citizen Assist / Service Call,1/24/2018
193,Alarms,1/24/2018
194,Citizen Assist / Service Call,1/24/2018
195,Medical Incident,1/24/2018
196,Alarms,1/24/2018
197,Medical Incident,1/24/2018
198,Alarms,1/24/2018
199,Fuel Spill,1/24/2018
200,Medical Incident,1/24/2018
201,Medical Incident,1/24/2018
202,Structure Fire,1/24/2018
203,Alarms,1/24/2018
204,Medical Incident,1/24/2018
205,Alarms,1/24/2018
206,Medical Incident,1/24/2018
207,Medical Incident,1/24/2018
208,Structure Fire,1/24/2018
209,Medical Incident,1/24/2018
210,Medical Incident,1/24/2018
211,Medical Incident,1/24/2018
212,Medical Incident,1/24/2018
213,Citizen Assist / Service Call,1/24/2018
214,Medical Incident,1/24/2018
215,Medical Incident,1/24/2018
216,Medical Incident,1/24/2018
217,Medical Incident,1/24/2018
218,Medical Incident,1/24/2018
219,Medical Incident,1/24/2018
220,Medical Incident,1/24/2018
221,Alarms,1/24/2018
222,Medical Incident,1/24/2018
223,Medical Incident,1/24/2018
224,Medical Incident,1/24/2018
225,Medical Incident,1/24/2018
226,Structure Fire,1/24/2018
227,Medical Incident,1/24/2018
228,Medical Incident,1/24/2018
229,Medical Incident,1/24/2018
230,Alarms,1/24/2018
231,Medical Incident,1/24/2018
232,Alarms,1/24/2018
233,Structure Fire,1/24/2018
234,Traffic Collision,1/24/2018
235,Medical Incident,1/24/2018
236,Medical Incident,1/24/2018
237,Medical Incident,1/24/2018
238,Medical Incident,1/24/2018
239,Medical Incident,1/24/2018
240,Medical Incident,1/24/2018
241,Medical Incident,1/24/2018
242,Medical Incident,1/24/2018
243,Medical Incident,1/24/2018
244,Alarms,1/24/2018
245,Medical Incident,1/24/2018
246,Medical Incident,1/24/2018
247,Medical Incident,1/24/2018
248,Medical Incident,1/24/2018
249,Medical Incident,1/24/2018
250,Medical Incident,1/24/2018
251,Medical Incident,1/24/2018
252,Structure Fire,1/24/2018
253,Medical Incident,1/24/2018
254,Medical Incident,1/24/2018
255,Medical Incident,1/24/2018
256,Alarms,1/24/2018
257,Alarms,1/24/2018
258,Medical Incident,1/24/2018
259,Medical Incident,1/24/2018
260,Structure Fire,1/24/2018
261,Alarms,1/24/2018
262,Structure Fire,1/24/2018
263,Alarms,1/24/2018
264,Medical Incident,1/24/2018
265,Traffic Collision,1/24/2018
266,Alarms,1/24/2018
267,Structure Fire,1/24/2018
268,Alarms,1/24/2018
269,Medical Incident,1/24/2018
270,Traffic Collision,1/24/2018
271,Medical Incident,1/24/2018
272,Medical Incident,1/24/2018
273,Medical Incident,1/24/2018
274,Medical Incident,1/24/2018
275,Traffic Collision,1/24/2018
276,Medical Incident,1/24/2018
277,Alarms,1/24/2018
278,Medical Incident,1/24/2018
279,Medical Incident,1/24/2018
280,Medical Incident,1/24/2018
281,Alarms,1/24/2018
282,Medical Incident,1/24/2018
283,Medical Incident,1/24/2018
284,Medical Incident,1/24/2018
285,Medical Incident,1/24/2018
286,Alarms,1/24/2018
287,Medical Incident,1/24/2018
288,Medical Incident,1/24/2018
289,Structure Fire,1/24/2018
290,Medical Incident,1/24/2018
291,Medical Incident,1/24/2018
292,Structure Fire,1/24/2018
293,Structure Fire,1/24/2018
294,Medical Incident,1/24/2018
295,Outside Fire,1/24/2018
296,Medical Incident,1/24/2018
297,Medical Incident,1/24/2018
298,Structure Fire,1/24/2018
299,Medical Incident,1/24/2018
300,Traffic Collision,1/24/2018
301,Alarms,1/24/2018
302,Medical Incident,1/24/2018
303,Medical Incident,1/24/2018
304,Medical Incident,1/24/2018
305,Medical Incident,1/24/2018
306,Medical Incident,1/24/2018
307,Medical Incident,1/24/2018
308,Medical Incident,1/24/2018
309,Alarms,1/24/2018
310,Medical Incident,1/24/2018
311,Medical Incident,1/24/2018
312,Medical Incident,1/24/2018
313,Structure Fire,1/24/2018
314,Medical Incident,1/24/2018
315,Medical Incident,1/24/2018
316,Medical Incident,1/24/2018
317,Medical Incident,1/24/2018
318,Medical Incident,1/24/2018
319,Structure Fire,1/24/2018
320,Medical Incident,1/24/2018
321,Medical Incident,1/24/2018
322,Medical Incident,1/24/2018
323,Medical Incident,1/24/2018
324,Medical Incident,1/24/2018
325,Medical Incident,1/24/2018
326,Medical Incident,1/24/2018
327,Medical Incident,1/24/2018
328,Medical Incident,1/24/2018
329,Medical Incident,1/24/2018
330,Structure Fire,1/24/2018
331,Medical Incident,1/24/2018
332,Medical Incident,1/24/2018
333,Structure Fire,1/24/2018
334,Medical Incident,1/24/2018
335,Medical Incident,1/24/2018
336,Medical Incident,1/24/2018
337,Medical Incident,1/24/2018
338,Traffic Collision,1/24/2018
339,Alarms,1/24/2018
340,Medical Incident,1/24/2018
341,Gas Leak (Natural and LP Gases),1/24/2018
342,Medical Incident,1/24/2018
343,Medical Incident,1/24/2018
344,Medical Incident,1/24/2018
345,Medical Incident,1/24/2018
346,Medical Incident,1/24/2018
347,Medical Incident,1/24/2018
348,Traffic Collision,1/24/2018
349,Medical Incident,1/24/2018
350,Structure Fire,1/24/2018
351,Structure Fire,1/24/2018
352,Medical Incident,1/24/2018
353,Medical Incident,1/24/2018
354,Medical Incident,1/24/2018
355,Medical Incident,1/24/2018
356,Medical Incident,1/24/2018
357,Medical Incident,1/24/2018
358,Medical Incident,1/24/2018
359,Medical Incident,1/24/2018
360,Alarms,1/24/2018
361,Medical Incident,1/24/2018
362,Medical Incident,1/24/2018
363,Medical Incident,1/24/2018
364,Structure Fire,1/24/2018
365,Alarms,1/24/2018
366,Traffic Collision,1/24/2018
367,Medical Incident,1/24/2018
368,Medical Incident,1/24/2018
369,Medical Incident,1/24/2018
370,Medical Incident,1/24/2018
371,Medical Incident,1/24/2018
372,Medical Incident,1/24/2018
373,Medical Incident,1/24/2018
374,Structure Fire,1/24/2018
375,Medical Incident,1/24/2018
376,Medical Incident,1/24/2018
377,Alarms,1/24/2018
378,Medical Incident,1/24/2018
379,Alarms,1/24/2018
380,Structure Fire,1/24/2018
381,Smoke Investigation (Outside),1/24/2018
382,Structure Fire,1/24/2018
383,Medical Incident,1/24/2018
384,Medical Incident,1/24/2018
385,Traffic Collision,1/24/2018
386,Medical Incident,1/24/2018
387,Medical Incident,1/24/2018
388,Medical Incident,1/24/2018
389,Structure Fire,1/24/2018
390,Medical Incident,1/24/2018
391,Medical Incident,1/24/2018
392,Medical Incident,1/24/2018
393,Medical Incident,1/24/2018
394,Medical Incident,1/24/2018
395,Structure Fire,1/24/2018
396,Medical Incident,1/24/2018
397,Medical Incident,1/24/2018
398,Alarms,1/24/2018
399,Medical Incident,1/24/2018
400,Medical Incident,1/24/2018
401,Vehicle Fire,1/24/2018
402,Medical Incident,1/24/2018
403,Alarms,1/24/2018
404,Medical Incident,1/24/2018
405,Medical Incident,1/24/2018
406,Medical Incident,1/24/2018
407,Structure Fire,1/24/2018
408,Alarms,1/24/2018
409,Gas Leak (Natural and LP Gases),1/24/2018
410,Medical Incident,1/24/2018
411,Medical Incident,1/24/2018
412,Traffic Collision,1/24/2018
413,Gas Leak (Natural and LP Gases),1/24/2018
414,Alarms,1/24/2018
415,Medical Incident,1/24/2018
416,Medical Incident,1/24/2018
417,Medical Incident,1/24/2018
418,Medical Incident,1/24/2018
419,Medical Incident,1/24/2018
420,Other,1/24/2018
421,Structure Fire,1/24/2018
422,Medical Incident,1/24/2018
423,Medical Incident,1/24/2018
424,Medical Incident,1/24/2018
425,Medical Incident,1/24/2018
426,Structure Fire,1/24/2018
427,Medical Incident,1/24/2018
428,Medical Incident,1/24/2018
429,Medical Incident,1/24/2018
430,Medical Incident,1/24/2018
431,Medical Incident,1/24/2018
432,Gas Leak (Natural and LP Gases),1/24/2018
433,Structure Fire,1/24/2018
434,Structure Fire,1/24/2018
435,Citizen Assist / Service Call,1/24/2018
436,Medical Incident,1/24/2018
437,Other,1/24/2018
438,Medical Incident,1/24/2018
439,Alarms,1/24/2018
440,Alarms,1/24/2018
441,Alarms,1/24/2018
442,Alarms,1/24/2018
443,Traffic Collision,1/24/2018
444,Medical Incident,1/24/2018
445,Alarms,1/24/2018
446,Medical Incident,1/24/2018
447,Structure Fire,1/24/2018
448,Medical Incident,1/24/2018
449,Medical Incident,1/24/2018
450,Medical Incident,1/24/2018
451,Traffic Collision,1/24/2018
452,Medical Incident,1/24/2018
453,Medical Incident,1/24/2018
454,Medical Incident,1/24/2018
455,Medical Incident,1/24/2018
456,Structure Fire,1/24/2018
457,Traffic Collision,1/24/2018
458,Alarms,1/24/2018
459,Medical Incident,1/24/2018
460,Alarms,1/24/2018
461,Medical Incident,1/24/2018
462,Medical Incident,1/24/2018
463,Structure Fire,1/24/2018
464,Medical Incident,1/24/2018
465,Medical Incident,1/24/2018
466,Medical Incident,1/24/2018
467,Medical Incident,1/24/2018
468,Medical Incident,1/24/2018
469,Medical Incident,1/24/2018
470,Alarms,1/24/2018
471,Medical Incident,1/24/2018
472,Structure Fire,1/24/2018
473,Medical Incident,1/24/2018
474,Medical Incident,1/24/2018
475,Gas Leak (Natural and LP Gases),1/24/2018
476,Medical Incident,1/24/2018
477,Medical Incident,1/24/2018
478,Alarms,1/24/2018
479,Alarms,1/24/2018
480,Alarms,1/24/2018
481,Medical Incident,1/24/2018
482,Medical Incident,1/24/2018
483,Medical Incident,1/24/2018
484,Medical Incident,1/24/2018
485,Structure Fire,1/24/2018
486,Traffic Collision,1/24/2018
487,Medical Incident,1/24/2018
488,Structure Fire,1/24/2018
489,Medical Incident,1/24/2018
490,Medical Incident,1/24/2018
491,Medical Incident,1/24/2018
492,Medical Incident,1/24/2018
493,Structure Fire,1/24/2018
494,Structure Fire,1/24/2018
495,Medical Incident,1/24/2018
496,Structure Fire,1/24/2018
497,Other,1/24/2018
498,Alarms,1/24/2018
499,Alarms,1/24/2018
500,Medical Incident,1/24/2018
501,Medical Incident,1/24/2018
502,Medical Incident,1/24/2018
503,Structure Fire,1/24/2018
504,Medical Incident,1/24/2018
505,Medical Incident,1/24/2018
506,Alarms,1/24/2018
507,Alarms,1/24/2018
508,Medical Incident,1/24/2018
509,Medical Incident,1/24/2018
510,Medical Incident,1/24/2018
511,Medical Incident,1/24/2018
512,Medical Incident,1/24/2018
513,Alarms,1/24/2018
514,Medical Incident,1/24/2018
515,Alarms,1/24/2018
516,Alarms,1/24/2018
517,Medical Incident,1/24/2018
518,Medical Incident,1/24/2018
519,Medical Incident,1/24/2018
520,Medical Incident,1/24/2018
521,Medical Incident,1/24/2018
522,Medical Incident,1/24/2018
523,Medical Incident,1/24/2018
524,Medical Incident,1/24/2018
525,Medical Incident,1/24/2018
526,Structure Fire,1/24/2018
527,Structure Fire,1/24/2018
528,Outside Fire,1/24/2018
529,Other,1/24/2018
530,Medical Incident,1/24/2018
531,Medical Incident,1/24/2018
532,Outside Fire,1/24/2018
533,Medical Incident,1/24/2018
534,Alarms,1/24/2018
535,Structure Fire,1/24/2018
536,Outside Fire,1/24/2018
537,Medical Incident,1/24/2018
538,Alarms,1/24/2018
539,Traffic Collision,1/24/2018
540,Medical Incident,1/24/2018
541,Medical Incident,1/24/2018
542,Medical Incident,1/24/2018
543,Traffic Collision,1/24/2018
544,Medical Incident,1/24/2018
545,Alarms,1/24/2018
546,Structure Fire,1/24/2018
547,Medical Incident,1/24/2018
548,Medical Incident,1/24/2018
549,Medical Incident,1/24/2018
550,Traffic Collision,1/24/2018
551,Medical Incident,1/24/2018
552,Alarms,1/24/2018
553,Traffic Collision,1/24/2018
554,Medical Incident,1/24/2018
555,Medical Incident,1/24/2018
556,Alarms,1/24/2018
557,Medical Incident,1/24/2018
558,Medical Incident,1/24/2018
559,Medical Incident,1/24/2018
560,Medical Incident,1/24/2018
561,Structure Fire,1/24/2018
562,Alarms,1/24/2018
563,Medical Incident,1/24/2018
564,Medical Incident,1/24/2018
565,Medical Incident,1/24/2018
566,Medical Incident,1/24/2018
567,Structure Fire,1/24/2018
568,Medical Incident,1/24/2018
569,Medical Incident,1/24/2018
570,Medical Incident,1/24/2018
571,Alarms,1/24/2018
572,Medical Incident,1/24/2018
573,Medical Incident,1/24/2018
574,Outside Fire,1/24/2018
575,Medical Incident,1/24/2018
576,Structure Fire,1/24/2018
577,Medical Incident,1/24/2018
578,Medical Incident,1/24/2018
579,Medical Incident,1/24/2018
580,Medical Incident,1/24/2018
581,Alarms,1/24/2018
582,Medical Incident,1/24/2018
583,Medical Incident,1/24/2018
584,Medical Incident,1/24/2018
585,Medical Incident,1/24/2018
586,Medical Incident,1/24/2018
587,Structure Fire,1/24/2018
588,Medical Incident,1/24/2018
589,Medical Incident,1/24/2018
590,Medical Incident,1/24/2018
591,Structure Fire,1/24/2018
592,Structure Fire,1/24/2018
593,Medical Incident,1/24/2018
594,Medical Incident,1/24/2018
595,Alarms,1/24/2018
596,Structure Fire,1/24/2018
597,Medical Incident,1/24/2018
598,Medical Incident,1/24/2018
599,Medical Incident,1/24/2018
600,Medical Incident,1/24/2018
601,Medical Incident,1/24/2018
602,Structure Fire,1/24/2018
603,Traffic Collision,1/24/2018
604,Medical Incident,1/24/2018
605,Medical Incident,1/24/2018
606,Structure Fire,1/24/2018
607,Medical Incident,1/24/2018
608,Medical Incident,1/24/2018
609,Medical Incident,1/24/2018
610,Medical Incident,1/24/2018
611,Outside Fire,1/24/2018
612,Structure Fire,1/24/2018
613,Medical Incident,1/24/2018
614,Medical Incident,1/24/2018
615,Smoke Investigation (Outside),1/24/2018
616,Medical Incident,1/24/2018
617,Medical Incident,1/24/2018
618,Medical Incident,1/24/2018
619,Medical Incident,1/24/2018
620,Structure Fire,1/24/2018
621,Alarms,1/24/2018
622,Structure Fire,1/24/2018
623,Medical Incident,1/24/2018
624,Medical Incident,1/24/2018
625,Medical Incident,1/24/2018
626,Medical Incident,1/24/2018
627,Medical Incident,1/24/2018
628,Medical Incident,1/24/2018
629,Medical Incident,1/24/2018
630,Structure Fire,1/24/2018
631,Medical Incident,1/24/2018
632,Medical Incident,1/24/2018
633,Medical Incident,1/24/2018
634,Medical Incident,1/24/2018
635,Medical Incident,1/24/2018
636,Medical Incident,1/24/2018
637,Medical Incident,1/24/2018
638,Medical Incident,1/24/2018
639,Medical Incident,1/24/2018
640,Medical Incident,1/24/2018
641,Medical Incident,1/24/2018
642,Medical Incident,1/24/2018
643,Medical Incident,1/24/2018
644,Medical Incident,1/24/2018
645,Medical Incident,1/24/2018
646,Medical Incident,1/24/2018
647,Alarms,1/24/2018
648,Medical Incident,1/24/2018
649,Medical Incident,1/24/2018
650,Medical Incident,1/24/2018
651,Medical Incident,1/24/2018
652,Medical Incident,1/24/2018
653,Alarms,1/24/2018
654,Alarms,1/24/2018
655,Medical Incident,1/24/2018
656,Medical Incident,1/24/2018
657,Medical Incident,1/24/2018
658,Structure Fire,1/24/2018
659,Structure Fire,1/24/2018
660,Medical Incident,1/24/2018
661,Medical Incident,1/24/2018
662,Medical Incident,1/24/2018
663,Medical Incident,1/24/2018
664,Medical Incident,1/24/2018
665,Alarms,1/24/2018
666,Medical Incident,1/24/2018
667,Alarms,1/24/2018
668,Structure Fire,1/24/2018
669,Medical Incident,1/24/2018
670,Traffic Collision,1/24/2018
671,Medical Incident,1/24/2018
672,Medical Incident,1/24/2018
673,Medical Incident,1/24/2018
674,Structure Fire,1/24/2018
675,Alarms,1/24/2018
676,Medical Incident,1/24/2018
677,Traffic Collision,1/24/2018
678,Medical Incident,1/24/2018
679,Medical Incident,1/24/2018
680,Medical Incident,1/24/2018
681,Medical Incident,1/24/2018
682,Alarms,1/24/2018
683,Medical Incident,1/24/2018
684,Medical Incident,1/24/2018
685,Alarms,1/24/2018
686,Medical Incident,1/24/2018
687,Alarms,1/24/2018
688,Medical Incident,1/24/2018
689,Medical Incident,1/24/2018
690,Medical Incident,1/24/2018
691,Medical Incident,1/24/2018
692,Medical Incident,1/24/2018
693,Medical Incident,1/24/2018
694,Medical Incident,1/24/2018
695,Alarms,1/24/2018
696,Medical Incident,1/24/2018
697,Medical Incident,1/24/2018
698,Alarms,1/24/2018
699,Alarms,1/24/2018
700,Alarms,1/24/2018
701,Medical Incident,1/24/2018
702,Medical Incident,1/24/2018
703,Medical Incident,1/24/2018
704,Medical Incident,1/24/2018
705,Medical Incident,1/24/2018
706,Structure Fire,1/24/2018
707,Medical Incident,1/24/2018
708,Medical Incident,1/24/2018
709,Structure Fire,1/24/2018
710,Medical Incident,1/24/2018
711,Medical Incident,1/24/2018
712,Structure Fire,1/24/2018
713,Medical Incident,1/24/2018
714,Medical Incident,1/24/2018
715,Medical Incident,1/24/2018
716,Medical Incident,1/24/2018
717,Medical Incident,1/24/2018
718,Medical Incident,1/24/2018
719,Medical Incident,1/24/2018
720,Medical Incident,1/24/2018
721,Structure Fire,1/24/2018
722,Medical Incident,1/24/2018
723,Medical Incident,1/24/2018
724,Structure Fire,1/24/2018
725,Alarms,1/24/2018
726,Medical Incident,1/24/2018
727,Medical Incident,1/24/2018
728,Traffic Collision,1/24/2018
729,Alarms,1/24/2018
730,Medical Incident,1/24/2018
731,Medical Incident,1/24/2018
732,Medical Incident,1/24/2018
733,Medical Incident,1/24/2018
734,Medical Incident,1/24/2018
735,Medical Incident,1/24/2018
736,Alarms,1/24/2018
737,Medical Incident,1/24/2018
738,Structure Fire,1/24/2018
739,Medical Incident,1/24/2018
740,Medical Incident,1/24/2018
741,Medical Incident,1/24/2018
742,Medical Incident,1/24/2018
743,Structure Fire,1/24/2018
744,Structure Fire,1/24/2018
745,Medical Incident,1/24/2018
746,Medical Incident,1/24/2018
747,Structure Fire,1/24/2018
748,Medical Incident,1/24/2018
749,Alarms,1/24/2018
750,Medical Incident,1/24/2018
751,Structure Fire,1/24/2018
752,Medical Incident,1/24/2018
753,Medical Incident,1/24/2018
754,Alarms,1/24/2018
755,Medical Incident,1/24/2018
756,Traffic Collision,1/24/2018
757,Alarms,1/24/2018
758,Medical Incident,1/24/2018
759,Structure Fire,1/24/2018
760,Elevator / Escalator Rescue,1/24/2018
761,Medical Incident,1/24/2018
762,Medical Incident,1/24/2018
763,Medical Incident,1/24/2018
764,Traffic Collision,1/24/2018
765,Alarms,1/24/2018
766,Medical Incident,1/24/2018
767,Medical Incident,1/24/2018
768,Structure Fire,1/24/2018
769,Medical Incident,1/24/2018
770,Medical Incident,1/24/2018
771,Alarms,1/24/2018
772,Alarms,1/24/2018
773,Medical Incident,1/24/2018
774,Medical Incident,1/24/2018
775,Medical Incident,1/24/2018
776,Medical Incident,1/24/2018
777,Medical Incident,1/24/2018
778,Structure Fire,1/24/2018
779,Citizen Assist / Service Call,1/24/2018
780,Medical Incident,1/24/2018
781,Medical Incident,1/24/2018
782,Structure Fire,1/24/2018
783,Medical Incident,1/24/2018
784,Gas Leak (Natural and LP Gases),1/24/2018
785,Medical Incident,1/24/2018
786,Medical Incident,1/24/2018
787,Medical Incident,1/24/2018
788,Alarms,1/24/2018
789,Medical Incident,1/24/2018
790,Medical Incident,1/24/2018
791,Medical Incident,1/24/2018
792,Medical Incident,1/24/2018
793,Medical Incident,1/24/2018
794,Medical Incident,1/24/2018
795,Outside Fire,1/24/2018
796,Structure Fire,1/24/2018
797,Medical Incident,1/24/2018
798,Structure Fire,1/24/2018
799,Medical Incident,1/24/2018
800,Medical Incident,1/24/2018
801,Medical Incident,1/24/2018
802,Medical Incident,1/24/2018
803,Alarms,1/24/2018
804,Medical Incident,1/24/2018
805,Outside Fire,1/24/2018
806,Structure Fire,1/24/2018
807,Medical Incident,1/24/2018
808,Medical Incident,1/24/2018
809,Medical Incident,1/24/2018
810,Alarms,1/24/2018
811,Medical Incident,1/24/2018
812,Structure Fire,1/24/2018
813,Structure Fire,1/24/2018
814,Medical Incident,1/24/2018
815,Medical Incident,1/24/2018
816,Medical Incident,1/24/2018
817,Alarms,1/24/2018
818,Medical Incident,1/24/2018
819,Structure Fire,1/24/2018
820,Medical Incident,1/24/2018
821,Medical Incident,1/24/2018
822,Structure Fire,1/24/2018
823,Medical Incident,1/24/2018
824,Medical Incident,1/24/2018
825,Medical Incident,1/24/2018
826,Alarms,1/24/2018
827,Medical Incident,1/24/2018
828,Alarms,1/24/2018
829,Medical Incident,1/24/2018
830,Medical Incident,1/24/2018
831,Medical Incident,1/24/2018
832,Medical Incident,1/24/2018
833,Medical Incident,1/24/2018
834,Alarms,1/24/2018
835,Medical Incident,1/24/2018
836,Alarms,1/24/2018
837,Medical Incident,1/23/2018
838,Traffic Collision,1/23/2018
839,Medical Incident,1/23/2018
840,Medical Incident,1/23/2018
841,Medical Incident,1/23/2018
842,Outside Fire,1/23/2018
843,Traffic Collision,1/23/2018
844,Medical Incident,1/23/2018
845,Medical Incident,1/23/2018
846,Medical Incident,1/23/2018
847,Medical Incident,1/23/2018
848,Structure Fire,1/23/2018
849,Medical Incident,1/23/2018
850,Medical Incident,1/23/2018
851,Alarms,1/23/2018
852,Traffic Collision,1/23/2018
853,Medical Incident,1/23/2018
854,Medical Incident,1/23/2018
855,Medical Incident,1/23/2018
856,Medical Incident,1/23/2018
857,Gas Leak (Natural and LP Gases),1/23/2018
858,Medical Incident,1/23/2018
859,Traffic Collision,1/23/2018
860,Structure Fire,1/23/2018
861,Medical Incident,1/23/2018
862,Medical Incident,1/23/2018
863,Medical Incident,1/23/2018
864,Medical Incident,1/23/2018
865,Medical Incident,1/23/2018
866,Medical Incident,1/23/2018
867,Medical Incident,1/23/2018
868,Medical Incident,1/23/2018
869,Alarms,1/23/2018
870,Medical Incident,1/23/2018
871,Medical Incident,1/23/2018
872,Medical Incident,1/23/2018
873,Alarms,1/23/2018
874,Medical Incident,1/23/2018
875,Medical Incident,1/23/2018
