call_type,latitude,longitude,zipcode_of_incident,,row_id
Medical Incident,37.76799245,-122.3943915,94158,,180243050-E04
Medical Incident,37.78144749,-122.4171456,94102,,180241702-KM08
Structure Fire,37.77025923,-122.4318323,94117,,180242412-SO2
Alarms,37.74691023,-122.4258238,94131,,180243951-B10
Medical Incident,37.77842248,-122.4334073,94117,,180243153-E21
Structure Fire,37.77025923,-122.4318323,94117,,180242412-RS1
Medical Incident,37.7815854,-122.4230902,94102,,180240825-63
Traffic Collision,37.72378785,-122.4364493,94112,,180242059-E43
Medical Incident,37.73311384,-122.3944192,94124,,180240680-57
Medical Incident,37.78299265,-122.3905285,94107,,180243836-AM124
Alarms,37.77991167,-122.4074744,94103,,180244077-T01
Alarms,37.77732776,-122.3930886,94107,,180243590-T08
Medical Incident,37.78013037,-122.4098714,94103,,180243217-KM02
Medical Incident,37.78530744,-122.4742451,94118,,180240237-82
Alarms,37.74691023,-122.4258238,94131,,180243951-T07
Medical Incident,37.7830194,-122.4638918,94118,,180243948-KM07
Medical Incident,37.74817255,-122.458695,94131,,180242487-56
Medical Incident,37.78176159,-122.4110582,94102,,180240259-55
Alarms,37.7877641,-122.4099253,94102,,180242545-E03
Medical Incident,37.80546355,-122.4144122,94133,,180241877-E28
Alarms,37.78420567,-122.4076127,94103,,180241726-T08
Medical Incident,37.77409268,-122.4410844,94117,,180240863-E21
Medical Incident,37.77814783,-122.4862064,94121,,180241644-65
Medical Incident,37.77319006,-122.418237,94103,,180242018-E36
Medical Incident,37.78160513,-122.4163363,94102,,180242506-EMS6
Medical Incident,37.7894925,-122.3901509,94105,,180240323-72
Medical Incident,37.77782816,-122.4249247,94102,,180240941-KM08
Structure Fire,37.79049502,-122.4023533,94104,,180240672-D2
Medical Incident,37.74521892,-122.4174839,94110,,180240791-E32
Medical Incident,37.77762424,-122.3999811,94107,,180243287-55
Medical Incident,37.79695516,-122.3989082,94111,,180242924-T13
Structure Fire,37.77428384,-122.4670881,94118,,180243491-E12
Medical Incident,37.76972086,-122.4179492,94103,,180240048-94
Alarms,37.77991167,-122.4074744,94103,,180244131-B03
Medical Incident,37.78434554,-122.4077851,94102,,180242684-62
Structure Fire,37.79860278,-122.4231486,94109,,180244146-B01
Medical Incident,37.7806621,-122.4228979,94102,,180242259-E36
Medical Incident,37.78611721,-122.4198542,94109,,180241591-E03
Medical Incident,37.75762172,-122.4188873,94110,,180241358-57
Medical Incident,37.77419657,-122.5100338,94121,,180241452-E23
Medical Incident,37.78429938,-122.4101413,94102,,180242677-66
Medical Incident,37.78708179,-122.4258678,94109,,180242811-61
Medical Incident,37.7894925,-122.3901509,94105,,180240323-E08
Medical Incident,37.78611721,-122.4198542,94109,,180243381-65
Traffic Collision,37.71347595,-122.4345411,94112,,180243104-RC4
Traffic Collision,37.79184209,-122.3949402,94105,,180243535-57
Medical Incident,37.78153451,-122.4281353,94115,,180241354-62
Alarms,37.77991167,-122.4074744,94103,,180244077-E08
Medical Incident,37.77779031,-122.4128343,94103,,180242322-E01
Medical Incident,37.74521892,-122.4174839,94110,,180240791-62
Medical Incident,37.78373004,-122.4137537,94102,,180242774-79
Outside Fire,37.76042745,-122.410962,94110,,180240163-E07
Medical Incident,37.76429934,-122.4185514,94110,,180240644-E36
Alarms,37.7841909,-122.4101195,94102,,180240342-T01
Medical Incident,37.7757637,-122.4757505,94118,,180242869-E31
Medical Incident,37.79494605,-122.4291559,94109,,180241033-74
Gas Leak (Natural and LP Gases),37.76182764,-122.3983307,94107,,180240255-B10
Gas Leak (Natural and LP Gases),37.76182764,-122.3983307,94107,,180240255-E29
Medical Incident,37.78574399,-122.405831,94103,,180244069-85
Medical Incident,37.73295563,-122.3875908,94124,,180243671-71
Medical Incident,37.75219765,-122.3974777,94107,,180243847-E37
Medical Incident,37.78300757,-122.4458585,94115,,180243858-79
Medical Incident,37.77487017,-122.3944171,94158,,180240411-KM07
Medical Incident,37.78600483,-122.3950773,94105,,180241551-AM112
Alarms,37.75436288,-122.4232161,94110,,180243931-E11
Medical Incident,37.77409486,-122.4200014,94103,,180240538-KM08
Electrical Hazard,37.73605995,-122.4923319,94116,,180244115-E18
Vehicle Fire,37.75124396,-122.4215853,94110,,180240439-T15
Medical Incident,37.72930177,-122.3908768,94124,,180241097-E42
Medical Incident,37.78300757,-122.4458585,94115,,180243858-E10
Alarms,37.78935407,-122.4000324,94105,,180241882-T01
Medical Incident,37.75828227,-122.4907982,94122,,180241207-E18
Medical Incident,37.70911386,-122.4318301,94112,,180240558-AM124
Medical Incident,37.76272932,-122.4229584,94110,,180240606-82
Medical Incident,37.75584156,-122.4017799,94107,,180242653-88
Alarms,37.7825474,-122.4122479,94102,,180242938-B02
Alarms,37.78729529,-122.4158061,94109,,180242425-T03
Medical Incident,37.7330297,-122.4342263,94131,,180240110-E26
Medical Incident,37.7233591,-122.4019025,94134,,180243715-91
Structure Fire,37.79860278,-122.4231486,94109,,180244146-E41
Alarms,37.72569336,-122.4522897,94112,,180241783-E15
Medical Incident,37.78383852,-122.4137755,94102,,180243522-87
Medical Incident,37.78775592,-122.4009754,94105,,180240783-AM106
Medical Incident,37.79920486,-122.4401325,94123,,180242865-KM02
Outside Fire,37.79983846,-122.4284568,94123,,180244124-E38
Medical Incident,37.78013037,-122.4098714,94103,,180243217-AM108
Medical Incident,37.73654494,-122.4223236,94110,,180240385-E08
Medical Incident,37.79916843,-122.4174283,94109,,180244032-AM116
Medical Incident,37.74089198,-122.465829,94127,,180242565-76
Medical Incident,37.76429934,-122.4185514,94110,,180240644-65
Medical Incident,37.75995363,-122.4371836,94114,,180241546-E07
Medical Incident,37.78071918,-122.4153156,94102,,180241457-E36
Traffic Collision,37.73243866,-122.4056075,94134,,180243176-E42
Medical Incident,37.78434554,-122.4077851,94102,,180240551-E01
Medical Incident,37.780001,-122.4416585,94115,,180243575-82
Medical Incident,37.78566436,-122.4597544,94118,,180242848-RC2
Traffic Collision,37.77578731,-122.3933551,94158,,180242571-82
Medical Incident,37.72581695,-122.402917,94134,,180240681-91
Structure Fire,37.80769049,-122.4123296,94133,,180242071-E28
Medical Incident,37.76437321,-122.4174785,94110,,180243478-71
Medical Incident,37.77883232,-122.4156425,94102,,180242173-E36
Structure Fire,37.78640961,-122.4080362,94102,,180240793-T03
Medical Incident,37.78191397,-122.4130322,94102,,180240344-82
Traffic Collision,37.72378785,-122.4364493,94112,,180242059-82
Structure Fire,37.75599844,-122.4094331,94110,,180243824-B10
Alarms,37.80711992,-122.4164279,94133,,180243952-T02
Medical Incident,37.70885361,-122.4051095,94134,,180244129-AM120
Alarms,37.7825474,-122.4122479,94102,,180242938-E36
Medical Incident,37.7444275,-122.4086903,94110,,180244113-53
Medical Incident,37.78775662,-122.4130557,94109,,180242385-79
Medical Incident,37.77555816,-122.4186586,94103,,180243128-E36
Medical Incident,37.78611721,-122.4198542,94109,,180240352-KM03
Gas Leak (Natural and LP Gases),37.75754536,-122.4730003,94122,,180241464-T12
Structure Fire,37.783359,-122.4166949,94102,,180241852-79
Medical Incident,37.77555816,-122.4186586,94103,,180243128-74
Traffic Collision,37.74801345,-122.4224874,94110,,180243481-71
Traffic Collision,37.71347595,-122.4345411,94112,,180243104-E43
Alarms,37.77299247,-122.4761579,94121,,180241094-E31
Alarms,37.78420567,-122.4076127,94103,,180241726-B03
Citizen Assist / Service Call,37.7707087,-122.4077168,94103,,180243193-E29
Alarms,37.77416171,-122.489139,94121,,180243659-T14
Citizen Assist / Service Call,37.75729278,-122.3957719,94107,,180243555-E37
Medical Incident,37.75464094,-122.4186018,94110,,180243922-73
Alarms,37.74691023,-122.4258238,94131,,180243951-B06
Medical Incident,37.77404134,-122.423188,94102,,180240787-E36
Alarms,37.78316766,-122.3978255,94107,,180241203-E01
Fuel Spill,37.73486828,-122.411052,94110,,180243315-E32
Medical Incident,37.76423612,-122.4196598,94110,,180240133-E36
Medical Incident,37.78326039,-122.4183662,94109,,180242165-E03
Structure Fire,37.79049502,-122.4023533,94104,,180240672-T10
Alarms,37.79569128,-122.4394237,94123,,180243501-E38
Medical Incident,37.77782548,-122.4715032,94118,,180242608-89
Alarms,37.79129325,-122.3986146,94105,,180240417-E35
Medical Incident,37.77953108,-122.4135425,94103,,180244074-82
Medical Incident,37.72581695,-122.402917,94134,,180240681-E42
Structure Fire,37.75599844,-122.4094331,94110,,180243824-B06
Medical Incident,37.78594197,-122.4080127,94102,,180241870-83
Medical Incident,37.78186545,-122.4142853,94102,,180241493-AM108
Medical Incident,37.7935386,-122.3928891,94105,,180240195-70
Medical Incident,37.78147394,-122.4206896,94102,,180244012-RC1
Citizen Assist / Service Call,37.75255649,-122.451114,94131,,180242375-T12
Medical Incident,37.77986128,-122.3895907,94107,,180242456-81
Medical Incident,37.78895561,-122.4178258,94109,,180243928-93
Medical Incident,37.78086621,-122.4288032,94115,,180240074-91
Medical Incident,37.7702426,-122.4296382,94117,,180243363-E06
Medical Incident,37.7757637,-122.4757505,94118,,180242869-59
Medical Incident,37.79695516,-122.3989082,94111,,180242924-66
Medical Incident,37.76213763,-122.4362418,94114,,180241476-E05
Alarms,37.78137782,-122.433162,94115,,180242522-E38
Medical Incident,37.78186545,-122.4142853,94102,,180241493-E03
Medical Incident,37.75730761,-122.4066198,94110,,180241691-E29
Medical Incident,37.78003795,-122.4858076,94121,,180242112-E14
Medical Incident,37.78511111,-122.414592,94109,,180240466-85
Structure Fire,37.77025923,-122.4318323,94117,,180242412-65
Medical Incident,37.76907575,-122.4207886,94103,,180242393-58
Medical Incident,37.76310298,-122.4663147,94122,,180243980-E22
Medical Incident,37.78186545,-122.4142853,94102,,180240299-87
Alarms,37.78137782,-122.433162,94115,,180242522-B04
Medical Incident,37.78097118,-122.4087087,94103,,180240257-E01
Alarms,37.79569128,-122.4394237,94123,,180243501-B04
Structure Fire,37.80769049,-122.4123296,94133,,180242071-B01
Traffic Collision,37.76946255,-122.4062134,94103,,180242956-E29
Medical Incident,37.77844605,-122.4995914,94121,,180244073-E34
Medical Incident,37.7757637,-122.4757505,94118,,180242869-RC2
Medical Incident,37.75995363,-122.4371836,94114,,180241546-KM02
Medical Incident,37.75300403,-122.4063362,94110,,180240850-AM104
Medical Incident,37.783052,-122.4200103,94109,,180241351-63
Medical Incident,37.78150637,-122.4079329,94103,,180240091-E01
Medical Incident,37.77966604,-122.4137112,94102,,180240690-E03
Medical Incident,37.74957409,-122.476228,94116,,180241402-KM15
Medical Incident,37.79452665,-122.411364,94108,,180241710-E02
Alarms,37.78818604,-122.4059182,94108,,180242933-B03
Medical Incident,37.75995363,-122.4371836,94114,,180241546-E05
Medical Incident,37.7885473,-122.4143744,94109,,180243780-55
Medical Incident,37.78316343,-122.4115993,94102,,180241197-89
Medical Incident,37.77650804,-122.4144578,94103,,180240546-79
Medical Incident,37.7323221,-122.378385,94124,,180242266-AM108
Medical Incident,37.77527143,-122.4660187,94118,,180240731-E31
Medical Incident,37.77592613,-122.4245791,94102,,180243378-E05
Structure Fire,37.80769049,-122.4123296,94133,,180242071-T16
Medical Incident,37.77592613,-122.4245791,94102,,180243378-T06
Medical Incident,37.77091334,-122.420305,94103,,180243933-E36
Medical Incident,37.7757637,-122.4757505,94118,,180242869-RC3
Alarms,37.78726854,-122.4001889,94105,,180242685-T01
Alarms,37.78299265,-122.3905285,94107,,180240313-B03
Medical Incident,37.7773216,-122.449116,94117,,180243985-E10
Medical Incident,37.74702849,-122.4315135,94131,,180241528-91
Structure Fire,37.78521736,-122.4170696,94109,,180240052-E03
Alarms,37.79129325,-122.3986146,94105,,180240180-E35
Structure Fire,37.77428384,-122.4670881,94118,,180243491-B07
Alarms,37.77416171,-122.489139,94121,,180243659-E14
Medical Incident,37.76429934,-122.4185514,94110,,180242698-73
Traffic Collision,37.76946255,-122.4062134,94103,,180242956-82
Alarms,37.79746472,-122.4146678,94133,,180241394-E02
Structure Fire,37.783359,-122.4166949,94102,,180241852-D2
Alarms,37.75366959,-122.4222784,94110,,180244089-E11
Medical Incident,37.78191397,-122.4130322,94102,,180240599-E03
Traffic Collision,37.77531731,-122.427724,94102,,180243283-E06
Medical Incident,37.79494605,-122.4291559,94109,,180241033-E38
Medical Incident,37.76967964,-122.449942,94117,,180242870-T12
Medical Incident,37.79073739,-122.4198727,94109,,180243200-E41
Medical Incident,37.78111921,-122.412597,94102,,180241653-KM11
Traffic Collision,37.74252073,-122.4043063,94124,,180243037-93
Medical Incident,37.7806621,-122.4228979,94102,,180240316-KM03
Alarms,37.75689017,-122.4222293,94110,,180243782-T07
Medical Incident,37.73371403,-122.3805885,94124,,180242198-50
Medical Incident,37.76213763,-122.4362418,94114,,180241476-KM08
Medical Incident,37.78373004,-122.4137537,94102,,180242774-74
Alarms,37.72569336,-122.4522897,94112,,180241783-B09
Medical Incident,37.7712162,-122.4378883,94117,,180241003-AM106
Medical Incident,37.80646891,-122.4192245,94109,,180243416-61
Medical Incident,37.7124692,-122.4147903,94134,,180243408-64
Medical Incident,37.7815854,-122.4230902,94102,,180240825-E03
Alarms,37.77991167,-122.4074744,94103,,180244131-T01
Medical Incident,37.78191397,-122.4130322,94102,,180240317-AM124
Medical Incident,37.78186545,-122.4142853,94102,,180241221-KM11
Structure Fire,37.79860278,-122.4231486,94109,,180244146-72
Medical Incident,37.77262672,-122.4199873,94103,,180242965-E05
Medical Incident,37.78796309,-122.4034918,94108,,180241440-88
Structure Fire,37.78521736,-122.4170696,94109,,180240052-B04
Structure Fire,37.79049502,-122.4023533,94104,,180240672-B07
Medical Incident,37.72930177,-122.3908768,94124,,180241097-T17
Outside Fire,37.76164305,-122.4120503,94110,,180240154-E07
Medical Incident,37.73216722,-122.4212838,94110,,180240350-E32
Medical Incident,37.78729821,-122.3944813,94105,,180243304-85
Structure Fire,37.71645955,-122.4410196,94112,,180240145-T15
Medical Incident,37.78566436,-122.4597544,94118,,180242848-E10
Traffic Collision,37.77085213,-122.4136792,94103,,180243864-E36
Alarms,37.79129325,-122.3986146,94105,,180240180-T13
Medical Incident,37.78530744,-122.4742451,94118,,180240237-E31
Medical Incident,37.77762424,-122.3999811,94107,,180240104-AM124
Medical Incident,37.76403274,-122.5094022,94122,,180241563-54
Medical Incident,37.77966604,-122.4137112,94102,,180240690-88
Medical Incident,37.75683373,-122.406699,94110,,180241815-62
Medical Incident,37.73117466,-122.3816081,94124,,180243685-95
Medical Incident,37.7869902,-122.4106839,94102,,180243299-AM120
Alarms,37.76990742,-122.4291109,94114,,180243159-T06
Medical Incident,37.78047851,-122.4125123,94103,,180242442-KM09
Medical Incident,37.75730761,-122.4066198,94110,,180241691-58
Medical Incident,37.78383852,-122.4137755,94102,,180240396-KM07
Structure Fire,37.78521736,-122.4170696,94109,,180240052-57
Medical Incident,37.78578701,-122.4125478,94102,,180243567-E03
Medical Incident,37.73111444,-122.3801049,94124,,180240400-53
Medical Incident,37.78153743,-122.4095183,94103,,180241014-KM08
Medical Incident,37.77097894,-122.402816,94103,,180241153-64
Medical Incident,37.7985219,-122.4163842,94109,,180244156-AM116
Structure Fire,37.75599844,-122.4094331,94110,,180243824-66
Medical Incident,37.78401768,-122.4312381,94115,,180240395-E38
Medical Incident,37.74953353,-122.4771494,94116,,180241876-RC2
Medical Incident,37.78186545,-122.4142853,94102,,180241729-88
Medical Incident,37.7731448,-122.3914729,94158,,180243893-57
Medical Incident,37.75223946,-122.4184453,94110,,180243517-E11
Medical Incident,37.74817255,-122.458695,94131,,180242487-76
Medical Incident,37.77262672,-122.4199873,94103,,180242965-74
Medical Incident,37.78258503,-122.4156939,94102,,180243903-E03
Medical Incident,37.78401768,-122.4312381,94115,,180240395-52
Medical Incident,37.73654494,-122.4223236,94110,,180240385-RC1
Structure Fire,37.77428384,-122.4670881,94118,,180243491-E22
Medical Incident,37.77824109,-122.4111848,94103,,180243854-E01
Medical Incident,37.73672968,-122.4248504,94110,,180240345-57
Structure Fire,37.75599844,-122.4094331,94110,,180243824-D3
Medical Incident,37.79323049,-122.3931813,94105,,180243875-KM03
Medical Incident,37.76924706,-122.4269556,94114,,180243170-66
Medical Incident,37.80193064,-122.4125413,94133,,180242547-83
Medical Incident,37.797515,-122.4471583,94123,,180243327-58
Traffic Collision,37.75617132,-122.4198655,94110,,180243047-E07
Alarms,37.75016484,-122.4128319,94110,,180241071-T09
Medical Incident,37.78566436,-122.4597544,94118,,180242848-KM08
Gas Leak (Natural and LP Gases),37.75754536,-122.4730003,94122,,180241464-E22
Medical Incident,37.76423612,-122.4196598,94110,,180240133-79
Medical Incident,37.73520174,-122.4341983,94131,,180243375-76
Medical Incident,37.78611721,-122.4198542,94109,,180241591-81
Medical Incident,37.79196281,-122.393243,94105,,180243148-67
Medical Incident,37.78354278,-122.4925102,94121,,180240380-AM124
Medical Incident,37.78144749,-122.4171456,94102,,180241702-E36
Traffic Collision,37.74801345,-122.4224874,94110,,180243481-E11
Medical Incident,37.76419571,-122.4330745,94114,,180243762-73
Structure Fire,37.77025923,-122.4318323,94117,,180242412-T06
Structure Fire,37.79860278,-122.4231486,94109,,180244146-T02
Medical Incident,37.79053181,-122.4039142,94108,,180243692-57
Medical Incident,37.72094516,-122.4782782,94132,,180242448-85
Medical Incident,37.79020396,-122.4163929,94109,,180242577-59
Medical Incident,37.78160513,-122.4163363,94102,,180240071-KM07
Medical Incident,37.77883232,-122.4156425,94102,,180242173-84
Medical Incident,37.76491738,-122.4218864,94103,,180241878-57
Medical Incident,37.75257276,-122.4129952,94110,,180243118-73
Medical Incident,37.79282365,-122.3970342,94111,,180243981-91
Alarms,37.77010383,-122.3910434,94158,,180242797-E04
Medical Incident,37.78594197,-122.4080127,94102,,180242624-E03
Medical Incident,37.77604635,-122.4112888,94103,,180240525-AM104
Medical Incident,37.78332633,-122.4403249,94115,,180242374-KM02
Structure Fire,37.77025923,-122.4318323,94117,,180242412-B02
Alarms,37.78316766,-122.3978255,94107,,180241203-T01
Traffic Collision,37.76924401,-122.4080072,94103,,180243546-E29
Medical Incident,37.75117143,-122.3973798,94107,,180241026-53
Medical Incident,37.71901187,-122.4804507,94132,,180240718-56
Medical Incident,37.78071918,-122.4153156,94102,,180241457-74
Medical Incident,37.78003795,-122.4858076,94121,,180242112-89
Medical Incident,37.75196034,-122.4363769,94114,,180243978-61
Medical Incident,37.78610104,-122.4180881,94109,,180240882-KM08
Medical Incident,37.78780723,-122.4192796,94109,,180242972-83
Structure Fire,37.77025923,-122.4318323,94117,,180242412-E05
Medical Incident,37.78086621,-122.4288032,94115,,180240074-E05
Medical Incident,37.76033176,-122.5092121,94122,,180240117-RC2
Alarms,37.7877641,-122.4099253,94102,,180242545-B01
Medical Incident,37.76173673,-122.4973495,94122,,180242858-54
Alarms,37.78729529,-122.4158061,94109,,180242425-E41
Structure Fire,37.78640961,-122.4080362,94102,,180240793-E03
Smoke Investigation (Outside),37.73438048,-122.4387974,94131,,180240356-E26
Structure Fire,37.78640961,-122.4080362,94102,,180243206-T03
Medical Incident,37.78241705,-122.4208105,94102,,180240243-RC1
Medical Incident,37.78176091,-122.4151051,94102,,180243615-91
Traffic Collision,37.76495166,-122.4319376,94114,,180242427-E36
Medical Incident,37.78578701,-122.4125478,94102,,180243567-AM120
Medical Incident,37.73782181,-122.4323983,94131,,180242794-E32
Medical Incident,37.72848944,-122.4299954,94112,,180241406-AM106
Structure Fire,37.79049502,-122.4023533,94104,,180240672-T16
Medical Incident,37.76437321,-122.4174785,94110,,180243139-E07
Medical Incident,37.75148331,-122.4564484,94131,,180241172-65
Medical Incident,37.79724775,-122.4346792,94123,,180242428-AM106
Medical Incident,37.76967964,-122.449942,94117,,180242870-76
Medical Incident,37.77319006,-122.418237,94103,,180242018-E05
Structure Fire,37.78640961,-122.4080362,94102,,180242610-T03
Medical Incident,37.77527143,-122.4660187,94118,,180240731-KM11
Medical Incident,37.79777923,-122.407828,94133,,180243987-95
Alarms,37.7841909,-122.4101195,94102,,180240342-B02
Medical Incident,37.78191397,-122.4130322,94102,,180240317-E03
Medical Incident,37.78128769,-122.4113181,94103,,180242164-52
Vehicle Fire,37.75124396,-122.4215853,94110,,180240439-E15
Medical Incident,37.78150637,-122.4079329,94103,,180240371-E01
Alarms,37.78870661,-122.3990102,94105,,180244017-B03
Medical Incident,37.77409486,-122.4200014,94103,,180243330-54
Medical Incident,37.77305345,-122.4186182,94103,,180243226-KM02
Medical Incident,37.78764185,-122.4034308,94103,,180243961-55
Structure Fire,37.75599844,-122.4094331,94110,,180243824-E07
Alarms,37.78818604,-122.4059182,94108,,180242933-T01
Gas Leak (Natural and LP Gases),37.72465238,-122.4022886,94134,,180243003-E44
Medical Incident,37.72025167,-122.4114755,94134,,180241272-E42
Medical Incident,37.77953108,-122.4135425,94103,,180244074-RS1
Traffic Collision,37.75414577,-122.4786157,94122,,180243473-93
Gas Leak (Natural and LP Gases),37.77684957,-122.4213512,94102,,180243798-B01
Alarms,37.77299247,-122.4761579,94121,,180241094-B07
Medical Incident,37.73216722,-122.4212838,94110,,180240350-55
Medical Incident,37.78186545,-122.4142853,94102,,180241729-T03
Medical Incident,37.78626844,-122.4129972,94102,,180240025-E03
Medical Incident,37.80627493,-122.4230092,94109,,180243460-E28
Medical Incident,37.79096861,-122.4023804,94104,,180240438-E13
Other,37.73605995,-122.4923319,94116,,180244083-E18
Structure Fire,37.78521736,-122.4170696,94109,,180240052-B02
Medical Incident,37.77659524,-122.4780333,94121,,180240167-AM120
Medical Incident,37.80193064,-122.4125413,94133,,180242547-E28
Medical Incident,37.79318893,-122.4005535,94104,,180241651-85
Medical Incident,37.72848944,-122.4299954,94112,,180241602-AM126
Structure Fire,37.79049502,-122.4023533,94104,,180240672-B04
Medical Incident,37.7773216,-122.449116,94117,,180243985-72
Medical Incident,37.78186545,-122.4142853,94102,,180242793-67
Medical Incident,37.78437057,-122.4388412,94115,,180242611-50
Medical Incident,37.78331041,-122.3883799,94107,,180243646-55
Medical Incident,37.78708179,-122.4258678,94109,,180242811-E38
Gas Leak (Natural and LP Gases),37.75754536,-122.4730003,94122,,180241464-B08
Structure Fire,37.79049502,-122.4023533,94104,,180240672-93
Structure Fire,37.77428384,-122.4670881,94118,,180243491-E31
Citizen Assist / Service Call,37.78119999,-122.4303649,94115,,180243406-T05
Medical Incident,37.78611721,-122.4198542,94109,,180240352-79
Other,37.72229807,-122.4113031,94134,,180243393-EMS6
Medical Incident,37.73234096,-122.4061162,94134,,180241646-76
Alarms,37.75016484,-122.4128319,94110,,180241071-B10
Alarms,37.75016484,-122.4128319,94110,,180241071-E07
Alarms,37.78420567,-122.4076127,94103,,180241726-B02
Alarms,37.78870661,-122.3990102,94105,,180244017-E35
Traffic Collision,37.79184209,-122.3949402,94105,,180243535-E13
Medical Incident,37.72930177,-122.3908768,94124,,180241097-88
Alarms,37.78845684,-122.4018373,94105,,180241699-E01
Medical Incident,37.78911017,-122.4170169,94109,,180241924-KM11
Structure Fire,37.79049502,-122.4023533,94104,,180240672-RS1
Medical Incident,37.77829356,-122.5029457,94121,,180241479-53
Medical Incident,37.72025167,-122.4114755,94134,,180241272-58
Medical Incident,37.76505134,-122.419669,94103,,180240274-70
Traffic Collision,37.73243866,-122.4056075,94134,,180243176-71
Medical Incident,37.76700203,-122.4221581,94103,,180240267-AM122
