call_type,zipcode_of_incident,dispatch_time
Structure Fire,94109,1:00
Medical Incident,94102,2:15
Medical Incident,94109,4:13
Medical Incident,94110,3:11
Medical Incident,94121,0:44
Medical Incident,94102,1:57
Medical Incident,94109,2:16
Medical Incident,94105,4:28
Medical Incident,94109,2:42
Traffic Collision,94112,1:04
Traffic Collision,94105,0:47
Medical Incident,94115,3:28
Alarms,94103,1:25
Medical Incident,94103,2:50
Medical Incident,94110,3:02
Medical Incident,94102,7:33
Outside Fire,94110,2:23
Medical Incident,94110,1:10
Alarms,94102,2:31
Medical Incident,94118,5:01
Medical Incident,94109,2:03
Gas Leak (Natural and LP Gases),94107,7:29
Gas Leak (Natural and LP Gases),94107,1:17
Medical Incident,94103,1:44
Medical Incident,94124,1:13
Medical Incident,94107,3:43
Medical Incident,94115,3:53
Medical Incident,94158,2:26
Medical Incident,94105,2:18
Alarms,94110,11:16
Medical Incident,94103,4:09
Electrical Hazard,94116,1:34
Vehicle Fire,94110,3:31
Medical Incident,94124,3:43
Medical Incident,94115,2:02
Alarms,94105,1:44
Medical Incident,94122,3:34
Medical Incident,94112,1:33
Medical Incident,94110,1:30
Medical Incident,94107,1:26
Alarms,94102,2:42
Alarms,94109,0:55
Medical Incident,94131,2:39
Medical Incident,94134,0:19
Structure Fire,94109,2:31
Alarms,94112,3:54
Medical Incident,94102,0:35
Medical Incident,94105,1:15
Medical Incident,94123,2:27
Outside Fire,94123,2:54
Medical Incident,94103,1:36
Medical Incident,94110,3:02
Medical Incident,94109,0:17
Medical Incident,94127,2:23
Medical Incident,94110,3:39
Medical Incident,94114,3:37
Medical Incident,94102,0:52
Traffic Collision,94134,1:23
Medical Incident,94102,1:05
Medical Incident,94115,1:04
Medical Incident,94118,5:57
Traffic Collision,94158,2:35
Medical Incident,94134,0:09
Structure Fire,94133,2:21
Medical Incident,94110,0:20
Medical Incident,94102,0:50
Structure Fire,94102,2:05
Medical Incident,94102,0:49
Traffic Collision,94112,1:21
Structure Fire,94110,1:25
Alarms,94133,0:43
Medical Incident,94134,1:26
Alarms,94102,0:20
Medical Incident,94110,2:03
Medical Incident,94109,0:56
Medical Incident,94103,20:12
Medical Incident,94109,1:24
Gas Leak (Natural and LP Gases),94122,1:20
Structure Fire,94102,0:56
Medical Incident,94103,1:39
Traffic Collision,94110,0:40
Traffic Collision,94112,2:35
Alarms,94121,3:14
Alarms,94103,3:46
Citizen Assist / Service Call,94103,3:00
Alarms,94121,2:40
Citizen Assist / Service Call,94107,1:49
Medical Incident,94110,7:18
Alarms,94131,2:28
Medical Incident,94102,1:56
Alarms,94107,0:14
Fuel Spill,94110,2:49
Medical Incident,94110,2:06
Medical Incident,94109,3:40
Structure Fire,94104,4:15
Alarms,94123,3:45
Medical Incident,94118,2:46
Alarms,94105,1:11
Medical Incident,94103,2:35
Medical Incident,94134,1:21
Structure Fire,94110,0:55
Medical Incident,94102,2:58
Medical Incident,94102,5:26
Medical Incident,94105,3:17
Medical Incident,94102,2:14
Citizen Assist / Service Call,94131,4:38
Medical Incident,94107,8:20
Medical Incident,94109,3:39
Medical Incident,94115,2:31
Medical Incident,94117,2:31
Medical Incident,94118,2:04
Medical Incident,94111,2:46
Medical Incident,94114,1:09
Alarms,94115,2:58
Medical Incident,94102,1:23
Medical Incident,94110,3:37
Medical Incident,94121,2:10
Medical Incident,94109,1:28
Structure Fire,94117,2:34
Medical Incident,94103,1:10
Medical Incident,94122,4:41
Medical Incident,94102,1:09
Alarms,94115,1:29
Medical Incident,94103,4:15
Alarms,94123,0:09
Structure Fire,94133,0:50
Traffic Collision,94103,1:17
Medical Incident,94121,6:01
Medical Incident,94118,3:39
Medical Incident,94114,0:30
Medical Incident,94110,3:00
Medical Incident,94109,4:04
Medical Incident,94103,3:23
Medical Incident,94102,2:27
Medical Incident,94116,3:26
Medical Incident,94108,1:44
Alarms,94108,3:39
Medical Incident,94114,6:10
Medical Incident,94109,3:09
Medical Incident,94102,2:00
Medical Incident,94103,2:01
Medical Incident,94124,1:08
Medical Incident,94118,3:11
Medical Incident,94102,0:09
Structure Fire,94133,1:54
Medical Incident,94102,1:05
Medical Incident,94103,3:43
Medical Incident,94118,1:54
Alarms,94105,2:42
Alarms,94107,2:57
Medical Incident,94117,1:01
Medical Incident,94131,15:39
Structure Fire,94109,1:27
Alarms,94105,1:00
Structure Fire,94118,3:00
Alarms,94121,2:15
Medical Incident,94110,0:50
Traffic Collision,94103,1:52
Alarms,94133,1:20
Structure Fire,94102,2:21
Alarms,94110,1:12
Medical Incident,94102,0:45
Traffic Collision,94102,5:01
Medical Incident,94109,3:45
Medical Incident,94117,1:40
Medical Incident,94109,2:45
Medical Incident,94102,0:56
Traffic Collision,94124,0:44
Medical Incident,94102,2:22
Alarms,94110,1:12
Medical Incident,94124,2:46
Medical Incident,94114,5:52
Medical Incident,94102,2:31
Alarms,94112,3:35
Medical Incident,94117,1:16
Medical Incident,94109,1:52
Medical Incident,94134,0:47
Medical Incident,94102,4:13
Alarms,94103,1:50
Medical Incident,94102,2:14
Medical Incident,94102,0:19
Structure Fire,94109,2:17
Medical Incident,94103,1:52
Medical Incident,94108,15:39
Structure Fire,94109,3:40
Structure Fire,94104,3:31
Medical Incident,94124,1:21
Outside Fire,94110,2:49
Medical Incident,94110,0:33
Medical Incident,94105,0:07
Structure Fire,94112,1:04
Medical Incident,94118,2:15
Traffic Collision,94103,1:27
Alarms,94105,1:15
Medical Incident,94118,4:40
Medical Incident,94107,3:32
Medical Incident,94122,3:23
Medical Incident,94102,0:00
Medical Incident,94110,1:26
Medical Incident,94124,0:55
Medical Incident,94102,1:52
Alarms,94114,7:34
Medical Incident,94103,1:23
Medical Incident,94110,0:53
Medical Incident,94102,15:39
Structure Fire,94109,1:51
Medical Incident,94102,1:40
Medical Incident,94124,2:07
Medical Incident,94103,0:00
Medical Incident,94103,5:24
Medical Incident,94109,1:21
Structure Fire,94110,2:25
Medical Incident,94115,6:42
Medical Incident,94116,1:36
Medical Incident,94102,4:27
Medical Incident,94158,4:19
Medical Incident,94110,9:33
Medical Incident,94131,2:17
Medical Incident,94103,1:45
Medical Incident,94102,2:25
Medical Incident,94115,2:04
Medical Incident,94110,1:00
Structure Fire,94118,1:31
Medical Incident,94103,1:29
Medical Incident,94110,1:21
Structure Fire,94110,0:32
Medical Incident,94105,4:04
Medical Incident,94114,1:26
Medical Incident,94133,2:17
Medical Incident,94123,0:29
Traffic Collision,94110,1:30
Alarms,94110,1:04
Medical Incident,94118,1:24
Gas Leak (Natural and LP Gases),94122,2:49
Medical Incident,94110,3:33
Medical Incident,94131,2:15
Medical Incident,94109,4:05
Medical Incident,94105,0:05
Medical Incident,94121,3:01
Medical Incident,94102,1:39
Traffic Collision,94110,0:38
Medical Incident,94114,1:28
Structure Fire,94117,0:19
Structure Fire,94109,1:44
Medical Incident,94108,1:27
Medical Incident,94132,4:41
Medical Incident,94109,1:53
Medical Incident,94102,0:20
Medical Incident,94102,2:12
Medical Incident,94103,2:31
Medical Incident,94110,5:53
Medical Incident,94111,3:13
Alarms,94158,0:00
Medical Incident,94102,3:19
Medical Incident,94103,4:51
Medical Incident,94115,1:28
Structure Fire,94117,1:56
Alarms,94107,2:12
Traffic Collision,94103,1:39
Medical Incident,94107,2:23
Medical Incident,94132,3:37
Medical Incident,94102,3:37
Medical Incident,94121,0:36
Medical Incident,94114,0:36
Medical Incident,94109,0:21
Medical Incident,94109,1:28
Structure Fire,94117,3:39
Medical Incident,94115,3:19
Medical Incident,94122,1:40
Alarms,94102,1:24
Medical Incident,94122,2:42
Alarms,94109,0:50
Structure Fire,94102,1:52
Smoke Investigation (Outside),94131,0:10
Structure Fire,94102,2:07
Medical Incident,94102,2:37
Medical Incident,94102,2:38
Traffic Collision,94114,1:51
Medical Incident,94102,2:11
Medical Incident,94131,1:21
Medical Incident,94112,3:40
Structure Fire,94104,3:34
Medical Incident,94110,7:10
Medical Incident,94131,5:17
Medical Incident,94123,3:45
Medical Incident,94117,1:40
Medical Incident,94103,0:25
Structure Fire,94102,1:08
Medical Incident,94118,1:49
Medical Incident,94133,1:10
Alarms,94102,1:50
Medical Incident,94102,1:08
Medical Incident,94103,1:34
Vehicle Fire,94110,1:45
Medical Incident,94103,1:21
Alarms,94105,6:38
Medical Incident,94103,2:15
Medical Incident,94103,1:50
Medical Incident,94103,1:21
Structure Fire,94110,1:44
Alarms,94108,1:24
Gas Leak (Natural and LP Gases),94134,1:25
Medical Incident,94134,1:11
Medical Incident,94103,0:35
Traffic Collision,94122,3:09
Gas Leak (Natural and LP Gases),94102,2:35
Alarms,94121,2:49
Medical Incident,94110,1:36
Medical Incident,94102,2:36
Medical Incident,94102,2:03
Medical Incident,94109,5:06
Medical Incident,94104,6:45
Other,94116,15:39
Structure Fire,94109,2:06
Medical Incident,94121,1:26
Medical Incident,94133,1:19
Medical Incident,94104,2:34
Medical Incident,94112,3:40
Structure Fire,94104,2:57
Medical Incident,94117,3:31
Medical Incident,94102,3:24
Medical Incident,94115,2:37
Medical Incident,94107,1:57
Medical Incident,94109,1:24
Gas Leak (Natural and LP Gases),94122,3:40
Structure Fire,94104,1:00
Structure Fire,94118,2:15
Citizen Assist / Service Call,94115,12:47
Medical Incident,94109,1:03:58
Other,94134,3:03
Medical Incident,94134,1:30
Alarms,94110,1:30
Alarms,94110,1:57
Alarms,94103,1:21
Alarms,94105,1:04
Traffic Collision,94105,3:31
Medical Incident,94124,1:32
Alarms,94105,0:36
Medical Incident,94109,3:40
Structure Fire,94104,1:59
Medical Incident,94121,1:25
Medical Incident,94134,4:10
Medical Incident,94103,0:52
Traffic Collision,94134,6:00
Medical Incident,94103,4:04
Medical Incident,94103,4:38
Medical Incident,94107,2:29
Medical Incident,94123,15:39
Structure Fire,94109,0:24
Traffic Collision,94118,1:42
Alarms,94104,2:38
Medical Incident,94132,4:29
Alarms,94109,3:55
Medical Incident,94107,0:41
Medical Incident,94102,0:23
Structure Fire,94109,6:55
Medical Incident,94103,1:40
Medical Incident,94122,0:55
Medical Incident,94131,0:17
Medical Incident,94127,8:20
Medical Incident,94109,4:42
Medical Incident,94117,1:54
Alarms,94131,1:24
Medical Incident,94158,1:20
Structure Fire,94102,2:46
Medical Incident,94133,1:06
Medical Incident,94124,3:14
Gas Leak (Natural and LP Gases),94115,4:43
Medical Incident,94110,1:41
Medical Incident,94124,1:04
Alarms,94123,3:28
Alarms,94103,1:54
Alarms,94105,0:40
Medical Incident,94111,4:25
Medical Incident,94102,1:26
Medical Incident,94103,6:24
Medical Incident,94111,12:33
Structure Fire,94117,0:45
Traffic Collision,94102,4:15
Medical Incident,94121,0:15
Structure Fire,94111,2:34
Medical Incident,94112,1:37
Medical Incident,94131,2:22
Medical Incident,94109,0:59
Medical Incident,94102,0:19
Structure Fire,94109,1:20
Structure Fire,94102,1:04
Medical Incident,94102,15:39
Structure Fire,94109,1:18
Other,94134,1:26
Alarms,94102,2:21
Alarms,94110,0:20
Medical Incident,94110,2:38
Medical Incident,94109,1:16
Medical Incident,94102,0:07
Structure Fire,94112,3:12
Medical Incident,94133,1:08
Medical Incident,94103,1:42
Alarms,94104,2:35
Alarms,94121,1:48
Medical Incident,94117,1:33
Medical Incident,94109,0:50
Medical Incident,94102,0:41
Medical Incident,94102,0:27
Medical Incident,94102,1:43
Alarms,94105,1:56
Medical Incident,94103,2:46
Alarms,94105,4:13
Alarms,94103,3:44
Medical Incident,94111,1:16
Medical Incident,94102,1:24
Medical Incident,94158,0:26
Medical Incident,94105,1:01
Medical Incident,94131,2:53
Medical Incident,94121,6:55
Medical Incident,94110,1:45
Medical Incident,94117,1:18
Medical Incident,94103,1:00
Structure Fire,94118,1:00
Structure Fire,94118,1:43
Outside Fire,94110,0:00
Other,94109,1:44
Medical Incident,94108,1:40
Medical Incident,94109,0:00
Outside Fire,94110,4:00
Medical Incident,94109,2:02
Alarms,94105,3:40
Structure Fire,94104,1:08
Outside Fire,94124,4:43
Medical Incident,94110,1:27
Alarms,94105,2:38
Traffic Collision,94114,2:55
Medical Incident,94102,1:44
Medical Incident,94107,2:38
Medical Incident,94132,2:20
Traffic Collision,94112,1:31
Medical Incident,94102,1:57
Alarms,94103,0:10
Structure Fire,94102,7:10
Medical Incident,94131,1:58
Medical Incident,94111,3:11
Medical Incident,94121,0:24
Traffic Collision,94118,5:36
Medical Incident,94133,1:52
Alarms,94114,2:38
Traffic Collision,94114,2:45
Medical Incident,94102,3:04
Medical Incident,94109,1:21
Alarms,94105,3:14
Medical Incident,94108,0:49
Medical Incident,94108,1:24
Medical Incident,94122,6:55
Medical Incident,94103,15:39
Structure Fire,94109,1:52
Alarms,94133,2:37
Medical Incident,94102,3:19
Medical Incident,94122,3:18
Medical Incident,94133,2:10
Medical Incident,94116,6:47
Structure Fire,94104,0:47
Medical Incident,94115,1:19
Medical Incident,94104,2:57
Medical Incident,94115,2:31
Alarms,94112,0:19
Medical Incident,94133,1:21
Medical Incident,94112,14:04
Outside Fire,94123,2:53
Medical Incident,94118,3:40
Structure Fire,94104,1:46
Medical Incident,94110,0:47
Medical Incident,94117,0:40
Medical Incident,94111,2:10
Medical Incident,94116,1:09
Alarms,94115,1:10
Medical Incident,94122,1:45
Medical Incident,94103,1:53
Medical Incident,94102,2:22
Medical Incident,94109,2:14
Medical Incident,94103,0:19
Structure Fire,94109,2:55
Medical Incident,94103,3:48
Medical Incident,94102,1:44
Medical Incident,94122,15:39
Structure Fire,94109,1:00
Structure Fire,94118,2:35
Medical Incident,94102,2:10
Medical Incident,94109,1:10
Alarms,94102,0:19
Structure Fire,94109,9:04
Medical Incident,94105,23:43
Medical Incident,94102,0:29
Medical Incident,94110,1:33
Medical Incident,94102,1:23
Medical Incident,94103,0:23
Structure Fire,94109,0:40
Traffic Collision,94112,0:29
Medical Incident,94117,1:26
Medical Incident,94103,0:31
Structure Fire,94102,0:51
Medical Incident,94103,5:54
Medical Incident,94110,2:05
Medical Incident,94158,2:52
Medical Incident,94102,1:43
Outside Fire,94110,1:28
Structure Fire,94117,3:33
Medical Incident,94131,2:05
Medical Incident,94107,5:27
Smoke Investigation (Outside),94131,2:14
Medical Incident,94103,2:57
Medical Incident,94117,2:55
Medical Incident,94111,0:56
Medical Incident,94109,1:20
Structure Fire,94102,1:54
Alarms,94105,3:40
Structure Fire,94104,2:55
Medical Incident,94111,0:40
Medical Incident,94111,2:31
Medical Incident,94117,2:11
Medical Incident,94131,3:32
Medical Incident,94122,1:04
Medical Incident,94102,4:18
Medical Incident,94108,0:27
Structure Fire,94103,4:13
Medical Incident,94105,3:45
Medical Incident,94118,5:00
Medical Incident,94109,1:13
Medical Incident,94107,6:38
Medical Incident,94103,0:29
Medical Incident,94114,2:42
Medical Incident,94117,6:38
Medical Incident,94103,1:31
Medical Incident,94102,3:30
Medical Incident,94124,5:04
Medical Incident,94131,1:29
Medical Incident,94109,1:17
Medical Incident,94112,1:05
Medical Incident,94103,12:01
Medical Incident,94103,1:44
Medical Incident,94124,2:21
Alarms,94110,13:15
Medical Incident,94158,2:55
Medical Incident,94102,1:41
Medical Incident,94102,1:52
Medical Incident,94108,4:10
Medical Incident,94103,1:04
Alarms,94123,2:49
Alarms,94107,0:47
Medical Incident,94117,1:33
Medical Incident,94109,7:29
Medical Incident,94108,1:21
Structure Fire,94110,0:27
Structure Fire,94103,1:50
Medical Incident,94103,1:45
Medical Incident,94102,2:38
Medical Incident,94109,1:15
Medical Incident,94123,1:50
Medical Incident,94103,1:56
Alarms,94107,0:59
Medical Incident,94102,2:42
Alarms,94107,1:20
Structure Fire,94102,4:23
Medical Incident,94107,0:56
Traffic Collision,94124,4:13
Medical Incident,94124,1:39
Medical Incident,94107,0:55
Medical Incident,94102,0:16
Structure Fire,94110,1:09
Alarms,94109,1:40
Medical Incident,94122,2:15
Traffic Collision,94103,0:10
Medical Incident,94109,1:34
Medical Incident,94103,0:49
Medical Incident,94102,1:12
Medical Incident,94102,1:43
Alarms,94105,2:41
Medical Incident,94115,1:17
Medical Incident,94121,2:18
Alarms,94110,1:50
Medical Incident,94112,1:52
Alarms,94114,2:28
Medical Incident,94102,1:25
Medical Incident,94110,2:16
Medical Incident,94134,1:31
Medical Incident,94103,0:29
Medical Incident,94118,5:06
Medical Incident,94103,3:10
Medical Incident,94109,4:31
Alarms,94103,2:03
Medical Incident,94109,1:27
Medical Incident,94132,1:52
Alarms,94133,2:13
Alarms,94115,1:32
Alarms,94105,2:29
Medical Incident,94102,2:52
Medical Incident,94102,1:54
Medical Incident,94124,9:08
Medical Incident,94111,2:43
Medical Incident,94102,1:20
Structure Fire,94102,3:36
Medical Incident,94114,5:36
Medical Incident,94133,1:21
Structure Fire,94110,2:05
Medical Incident,94121,3:42
Medical Incident,94118,0:15
Structure Fire,94111,2:42
Medical Incident,94117,2:41
Medical Incident,94115,1:43
Medical Incident,94122,1:20
Medical Incident,94102,0:41
Medical Incident,94102,1:59
Medical Incident,94121,1:05
Medical Incident,94109,3:30
Medical Incident,94124,0:31
Structure Fire,94102,1:23
Medical Incident,94103,7:55
Medical Incident,94102,1:21
Structure Fire,94110,1:04
Alarms,94123,1:23
Medical Incident,94102,36:57:00
Medical Incident,94107,2:38
Traffic Collision,94114,1:42
Alarms,94104,3:45
Medical Incident,94117,0:44
Medical Incident,94102,2:36
Medical Incident,94102,3:21
Medical Incident,94103,3:34
Medical Incident,94112,1:59
Medical Incident,94122,3:13
Alarms,94158,5:17
Medical Incident,94103,1:28
Structure Fire,94117,3:00
Medical Incident,94131,3:31
Medical Incident,94110,0:26
Medical Incident,94105,6:00
Medical Incident,94103,0:16
Structure Fire,94110,0:19
Structure Fire,94109,3:00
Medical Incident,94131,2:16
Medical Incident,94134,1:21
Structure Fire,94110,2:42
Medical Incident,94117,2:54
Alarms,94108,6:21
Medical Incident,94102,0:46
Structure Fire,94102,4:54
Medical Incident,94117,0:39
Medical Incident,94105,2:42
Alarms,94109,0:35
Medical Incident,94105,2:38
Traffic Collision,94114,1:44
Alarms,94108,1:19
Medical Incident,94103,1:21
Structure Fire,94110,1:16
Elevator / Escalator Rescue,94109,1:41
Medical Incident,94102,1:29
Medical Incident,94103,1:38
Medical Incident,94134,0:29
Traffic Collision,94110,1:32
Alarms,94105,1:08
Medical Incident,94107,6:21
Medical Incident,94102,1:20
Structure Fire,94102,3:17
Medical Incident,94102,2:05
Medical Incident,94107,4:15
Alarms,94123,2:46
Alarms,94105,2:33
Medical Incident,94109,1:54
Medical Incident,94102,1:20
Medical Incident,94102,3:31
Medical Incident,94133,0:49
Medical Incident,94102,0:46
Structure Fire,94102,1:24
Citizen Assist / Service Call,94110,3:34
Medical Incident,94110,6:18
Medical Incident,94118,12:33
Structure Fire,94117,2:14
Medical Incident,94102,2:03
Gas Leak (Natural and LP Gases),94107,1:29
Medical Incident,94110,1:12
Medical Incident,94124,3:19
Medical Incident,94122,2:22
Alarms,94110,1:49
Medical Incident,94133,0:00
Medical Incident,94122,1:45
Medical Incident,94117,3:52
Medical Incident,94124,0:56
Medical Incident,94109,2:04
Medical Incident,94122,1:43
Outside Fire,94110,1:28
Structure Fire,94117,1:54
Medical Incident,94102,15:39
Structure Fire,94109,1:49
Medical Incident,94110,2:41
Medical Incident,94110,3:33
Medical Incident,94103,1:19
Medical Incident,94103,1:43
Alarms,94105,3:34
Medical Incident,94107,0:13
Outside Fire,94124,1:28
Structure Fire,94117,2:10
Medical Incident,94116,2:53
Medical Incident,94118,2:55
Medical Incident,94109,1:25
Alarms,94133,2:55
Medical Incident,94109,1:20
Structure Fire,94102,0:25
Structure Fire,94102,4:18
Medical Incident,94108,3:34
Medical Incident,94110,2:33
Medical Incident,94102,5:00
Alarms,94103,2:39
Medical Incident,94134,2:15
Structure Fire,94118,3:26
Medical Incident,94108,1:54
Medical Incident,94124,1:00
Structure Fire,94118,2:32
Medical Incident,94114,1:50
Medical Incident,94112,1:30
Medical Incident,94107,3:00
Alarms,94121,0:47
Medical Incident,94110,2:02
Alarms,94105,1:00
Medical Incident,94102,11:07
Medical Incident,94108,4:11
Medical Incident,94110,0:15
Medical Incident,94103,1:37
Medical Incident,94131,1:40
Alarms,94102,1:33
Medical Incident,94102,3:13
Alarms,94158,2:18
Medical Incident,94102,3:05
Traffic Collision,94116,2:04
Medical Incident,94116,7:03
Medical Incident,94102,4:30
Medical Incident,94109,4:13
Outside Fire,94130,2:46
Traffic Collision,94105,2:57
Medical Incident,94131,2:36
Medical Incident,94107,1:36
Medical Incident,94115,4:18
Medical Incident,94103,2:33
Structure Fire,94117,3:00
Medical Incident,94112,3:13
Medical Incident,94121,1:56
Alarms,94103,3:05
Traffic Collision,94116,1:27
Medical Incident,94102,2:18
Medical Incident,94102,1:09
Medical Incident,94122,1:20
Medical Incident,94158,3:03
Gas Leak (Natural and LP Gases),94124,0:49
Medical Incident,94102,0:50
Traffic Collision,94114,0:56
Structure Fire,94116,4:03
Medical Incident,94124,3:56
Medical Incident,94103,2:54
Medical Incident,94103,1:31
Medical Incident,94122,2:00
Medical Incident,94105,2:25
Medical Incident,94110,0:49
Medical Incident,94102,4:02
Medical Incident,94102,1:44
Alarms,94122,3:33
Medical Incident,94103,1:19
Medical Incident,94109,2:35
Medical Incident,94107,5:08
Alarms,94134,0:47
Medical Incident,94121,0:58
Medical Incident,94108,5:12
Medical Incident,94110,8:11
Structure Fire,94112,0:34
Medical Incident,94109,1:00
Structure Fire,94124,2:04
Electrical Hazard,94122,3:39
Medical Incident,94103,3:28
Medical Incident,94103,1:30
Structure Fire,94112,3:05
Medical Incident,94107,0:42
Structure Fire,94117,3:42
Medical Incident,94124,0:46
Medical Incident,94109,4:48
Structure Fire,94127,3:11
Medical Incident,94103,2:14
Outside Fire,94103,6:06
Structure Fire,94112,4:52
Medical Incident,94105,1:06
Medical Incident,94112,4:10
Medical Incident,94102,0:02:28
Structure Fire,94116,1:49
Structure Fire,94102,1:39
Alarms,94115,0:31
Medical Incident,94112,7:20
Structure Fire,94127,1:56
Medical Incident,94124,1:08
Alarms,94102,0:11
Structure Fire,94102,8:42
Citizen Assist / Service Call,94109,2:04
Medical Incident,94102,2:34
Medical Incident,94118,2:28
Structure Fire,94117,1:24
Medical Incident,94109,5:40
Medical Incident,94103,1:39
Medical Incident,94103,4:29
Other,94111,2:15
Other,94103,1:26
Alarms,94102,1:53
Medical Incident,94102,2:14
Medical Incident,94109,2:32
Medical Incident,94103,5:28
Medical Incident,94110,3:42
Medical Incident,94124,2:04
Medical Incident,94116,6:01
Medical Incident,94102,3:00
Medical Incident,94122,11:29
Other,94103,4:03
Medical Incident,94118,1:24
Structure Fire,94102,3:03
Gas Leak (Natural and LP Gases),94124,2:03
Alarms,94105,3:08
Medical Incident,94102,2:51
Medical Incident,94102,1:57
Medical Incident,94109,1:21
Structure Fire,94127,11:38
Vehicle Fire,94134,1:34
Medical Incident,94109,2:28
Structure Fire,94117,1:03
Outside Fire,94103,2:06
Medical Incident,94103,1:08
Structure Fire,94132,1:30
Structure Fire,94112,1:06
Medical Incident,94114,1:38
Medical Incident,94107,0:56
Structure Fire,94116,0:14
Citizen Assist / Service Call,94118,2:49
Medical Incident,94109,2:01
Medical Incident,94109,1:39
Alarms,94115,2:23
Medical Incident,94109,2:13
Medical Incident,94110,6:41
Medical Incident,94122,3:00
Medical Incident,94117,0:29
Medical Incident,94103,1:23
Medical Incident,94103,1:56
Medical Incident,94103,1:41
Medical Incident,94117,2:45
Medical Incident,94123,0:22
Medical Incident,94124,3:15
Medical Incident,94115,1:34
Medical Incident,94112,3:44
Alarms,94114,5:10
Alarms,94102,4:26
Medical Incident,94103,1:46
Medical Incident,94102,1:29
Medical Incident,94133,5:49
Medical Incident,94124,2:34
Medical Incident,94103,4:09
Medical Incident,94105,0:54
Structure Fire,94133,1:56
Medical Incident,94110,4:12
Medical Incident,94109,1:13
Medical Incident,94118,4:13
Medical Incident,94112,4:55
Traffic Collision,94103,17:57
Structure Fire,94127,2:28
Medical Incident,94109,0:28
Other,94112,1:47
Alarms,94103,20:37
Structure Fire,94127,7:51
Structure Fire,94127,2:46
Medical Incident,94103,3:05
Traffic Collision,94116,4:32
Medical Incident,94123,31:56:00
Structure Fire,94127,3:33
Medical Incident,94115,0:58
Medical Incident,94102,1:44
Alarms,94122,10:48
Structure Fire,94102,2:42
Medical Incident,94121,0:25
Medical Incident,94109,1:54
Elevator / Escalator Rescue,94108,1:46
Smoke Investigation (Outside),94110,6:19
Medical Incident,94103,1:25
Medical Incident,94124,6:06
Structure Fire,94112,3:21
Medical Incident,94103,1:47
Alarms,94103,0:50
Medical Incident,94103,0:37
Traffic Collision,94131,3:30
Medical Incident,94103,0:50
Medical Incident,94103,1:20
Medical Incident,94158,2:33
