,call_type,received_timestamp,row_id,zipcode_of_incident
299,Medical Incident,2018-01-24 16:35:26.000000 UTC,180242848-E10,94118
300,Traffic Collision,2018-01-24 21:50:32.000000 UTC,180243864-E36,94103
301,Alarms,2018-01-24 02:09:42.000000 UTC,180240180-T13,94105
302,Medical Incident,2018-01-24 03:03:33.000000 UTC,180240237-E31,94118
303,Medical Incident,2018-01-24 01:09:19.000000 UTC,180240104-AM124,94107
304,Medical Incident,2018-01-24 11:20:32.000000 UTC,180241563-54,94122
305,Medical Incident,2018-01-24 07:56:26.000000 UTC,180240690-88,94102
306,Medical Incident,2018-01-24 12:18:52.000000 UTC,180241815-62,94110
307,Medical Incident,2018-01-24 20:45:37.000000 UTC,180243685-95,94124
308,Medical Incident,2018-01-24 18:41:09.000000 UTC,180243299-AM120,94102
309,Alarms,2018-01-24 18:00:28.000000 UTC,180243159-T06,94114
310,Medical Incident,2018-01-24 14:41:44.000000 UTC,180242442-KM09,94103
311,Medical Incident,2018-01-24 11:50:49.000000 UTC,180241691-58,94110
312,Medical Incident,2018-01-24 05:53:07.000000 UTC,180240396-KM07,94102
313,Structure Fire,2018-01-24 00:19:30.000000 UTC,180240052-57,94109
314,Medical Incident,2018-01-24 19:57:20.000000 UTC,180243567-E03,94102
315,Medical Incident,2018-01-24 05:57:15.000000 UTC,180240400-53,94124
316,Medical Incident,2018-01-24 09:25:43.000000 UTC,180241014-KM08,94103
317,Medical Incident,2018-01-24 09:57:47.000000 UTC,180241153-64,94103
318,Medical Incident,2018-01-24 23:54:15.000000 UTC,180244156-AM116,94109
319,Structure Fire,2018-01-24 21:35:26.000000 UTC,180243824-66,94110
320,Medical Incident,2018-01-24 05:50:20.000000 UTC,180240395-E38,94115
321,Medical Incident,2018-01-24 12:30:54.000000 UTC,180241876-RC2,94116
322,Medical Incident,2018-01-24 11:59:40.000000 UTC,180241729-88,94102
323,Medical Incident,2018-01-24 22:01:25.000000 UTC,180243893-57,94158
324,Medical Incident,2018-01-24 19:41:44.000000 UTC,180243517-E11,94110
325,Medical Incident,2018-01-24 14:54:21.000000 UTC,180242487-76,94131
326,Medical Incident,2018-01-24 17:08:19.000000 UTC,180242965-74,94103
327,Medical Incident,2018-01-24 22:06:28.000000 UTC,180243903-E03,94102
328,Medical Incident,2018-01-24 05:50:20.000000 UTC,180240395-52,94115
329,Medical Incident,2018-01-24 05:44:01.000000 UTC,180240385-RC1,94110
330,Structure Fire,2018-01-24 19:35:15.000000 UTC,180243491-E22,94118
331,Medical Incident,2018-01-24 21:47:22.000000 UTC,180243854-E01,94103
332,Medical Incident,2018-01-24 04:59:41.000000 UTC,180240345-57,94110
333,Structure Fire,2018-01-24 21:35:26.000000 UTC,180243824-D3,94110
334,Medical Incident,2018-01-24 21:56:24.000000 UTC,180243875-KM03,94105
335,Medical Incident,2018-01-24 18:02:47.000000 UTC,180243170-66,94114
336,Medical Incident,2018-01-24 15:11:32.000000 UTC,180242547-83,94133
337,Medical Incident,2018-01-24 18:47:31.000000 UTC,180243327-58,94123
338,Traffic Collision,2018-01-24 17:30:15.000000 UTC,180243047-E07,94110
339,Alarms,2018-01-24 09:40:45.000000 UTC,180241071-T09,94110
340,Medical Incident,2018-01-24 16:35:26.000000 UTC,180242848-KM08,94118
341,Gas Leak (Natural and LP Gases),2018-01-24 10:58:33.000000 UTC,180241464-E22,94122
342,Medical Incident,2018-01-24 01:24:30.000000 UTC,180240133-79,94110
343,Medical Incident,2018-01-24 18:59:41.000000 UTC,180243375-76,94131
344,Medical Incident,2018-01-24 11:28:31.000000 UTC,180241591-81,94109
345,Medical Incident,2018-01-24 17:56:24.000000 UTC,180243148-67,94105
346,Medical Incident,2018-01-24 05:38:38.000000 UTC,180240380-AM124,94121
347,Medical Incident,2018-01-24 11:51:21.000000 UTC,180241702-E36,94102
348,Traffic Collision,2018-01-24 19:31:25.000000 UTC,180243481-E11,94110
349,Medical Incident,2018-01-24 21:14:15.000000 UTC,180243762-73,94114
350,Structure Fire,2018-01-24 14:33:15.000000 UTC,180242412-T06,94117
351,Structure Fire,2018-01-24 23:52:02.000000 UTC,180244146-T02,94109
352,Medical Incident,2018-01-24 20:47:00.000000 UTC,180243692-57,94108
353,Medical Incident,2018-01-24 14:42:58.000000 UTC,180242448-85,94132
354,Medical Incident,2018-01-24 15:19:10.000000 UTC,180242577-59,94109
355,Medical Incident,2018-01-24 00:47:57.000000 UTC,180240071-KM07,94102
356,Medical Incident,2018-01-24 13:38:28.000000 UTC,180242173-84,94102
357,Medical Incident,2018-01-24 12:32:58.000000 UTC,180241878-57,94103
358,Medical Incident,2018-01-24 17:51:57.000000 UTC,180243118-73,94110
